source,chart_week,period,rank,previous_rank,artist,song_or_album,weeks_on_chart,published_streams_or_views,metric_type,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,genre_category_label,classification_note
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,1,2,Free Finga,Plastika,116,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,alt-pop / electronic pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,2,1,Jessica Shy,Žvėris,52,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,contemporary pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,3,4,Jessica Shy,Sutemos,105,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,contemporary pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,4,6,Michael Jackson,Thriller,10,,AGATA official rank only; exact plays not published,English / international,international / non-local,classic pop / funk,nostalgia_catalog,nostalgia catalog,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,5,3,Drake,ICEMAN,3,,AGATA official rank only; exact plays not published,English / international,international / non-local,hip-hop / R&B,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,6,8,sombr,I Barely Know Her,41,,AGATA official rank only; exact plays not published,English / international,international / non-local,indie pop,indie_alternative,indie / alternative,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,7,7,Jessica Shy,Pasaka,169,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,contemporary pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,8,9,Lilas ir Innomine,AKNB,38,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,Lithuanian hip-hop / pop-rap,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,9,10,BTS,ARIRANG,11,,AGATA official rank only; exact plays not published,Korean artist / mostly English or K-pop,international / non-local,K-pop / pop,kpop_global,K-pop / global pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,10,12,Solo Ansamblis,Scenos,63,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,alternative electronic / post-punk,indie_alternative,indie / alternative,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,11,5,Rokas Yan,Alkis,2,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,Lithuanian pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Albums Top 100,2026 week 23,2026-05-29 to 2026-06-04,12,23,Bad Bunny,DeBÍ TiRAR MáS FOToS,48,,AGATA official rank only; exact plays not published,English / international,international / non-local,Latin urbano / reggaeton,latin_afro_global,Latin / Afro / global rhythmic,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
