genre_category,genre_category_label,current_heat_score_0_5,chart_coverage_score_0_5,breakout_score_0_5,retention_score_0_5,multiplatform_score_0_5,local_artist_validation_score_0_5,weighted_recommendation_score_0_5,spotify_weekly_streams,spotify_stream_share,spotify_top_100_count,agata_top_100_count,spotify_local_artist_count,agata_local_artist_count
pop_alt_pop,pop / alt-pop,5,5,4.0,2.34,5,5,4.45,1471848,0.3426,31,33,47,23
dance_electronic,dance-pop / electronic,3.87,3.1,2.4,1.82,5,2.0,3.09,498731,0.1161,14,17,5,3
melodic_hiphop_poprap,melodic hip-hop / pop-rap,3.55,2.3,1.6,2.81,5,3.25,3.09,458062,0.1066,13,10,8,5
indie_alternative,indie / alternative,4.01,2.3,2.4,2.51,5,2.0,3.08,516901,0.1203,14,9,6,2
nostalgia_catalog,nostalgia catalog,1.94,1.5,1.6,0.68,5,1.0,1.94,250566,0.0583,8,7,2,2
russian_pop_rap,Russian pop / pop-rap,1.88,1.0,1.6,1.41,5,0.0,1.8,242162,0.0564,6,4,0,0
kpop_global,K-pop / global pop,1.23,0.5,1.6,1.41,5,0.0,1.56,158262,0.0368,3,2,0,0
latin_afro_global,Latin / Afro / global rhythmic,1.08,1.2,0.0,0.69,5,0.0,1.31,139440,0.0325,6,6,0,0
rock_alternative,rock / alternative,0.91,0.5,0.0,2.06,2.5,1.0,1.12,117148,0.0273,3,2,3,1
other_european_pop,other European pop,0.2,0.1,0.0,0.13,2.5,0.0,0.46,25335,0.0059,1,0,0,0
