artist,song,agata_rank,spotify_rank,spotify_weekly_streams,agata_weeks_on_chart,spotify_weeks_on_chart,language_type_inferred,genre_category_label,artist_origin_inferred
Jessica Shy,Žvėris,2,6,43122,51,53,Lithuanian / local artist,pop / alt-pop,Lithuania / local
The Chemical Brothers,Go,3,32,27399,4,6,English / international,dance-pop / electronic,international / non-local
DARA,Bangaranga,4,4,46844,3,4,English / international,dance-pop / electronic,international / non-local
Adomas Vyšniauskas,Kely Sustoja Laikas,6,37,26510,27,29,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Free Finga,Vienas,7,16,36343,110,116,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Temper City,Self Aware,8,11,39936,10,12,English / international,unknown / needs manual verification,international / non-local
Dominic Fike,Babydoll,9,8,42193,22,50,English / international,indie / alternative,international / non-local
Michael Jackson,Billie Jean,10,10,40576,7,14,English / international,nostalgia catalog,international / non-local
Jessica Shy,Tarp Geltonų Rūtų,12,31,27407,105,106,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Ariana Grande,hate that i made you love me,13,15,37675,1,2,English / international,pop / alt-pop,international / non-local
Sal da Vinci,Per sempre sì,14,41,25335,3,4,Other European language,unknown / needs manual verification,international / non-local
Free Finga,Liūdna!,16,13,38160,5,6,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Empire of the Sun,We Are The People,17,12,38908,83,121,English / international,dance-pop / electronic,international / non-local
Solo Ansamblis,Meilės Mašina,18,19,32916,68,69,Lithuanian / local artist,indie / alternative,Lithuania / local
Jessica Shy,1000 Vėtrų,19,23,30482,105,106,Lithuanian / local artist,pop / alt-pop,Lithuania / local
MIA BOYKA,ЭКСПОНАТ,20,45,25036,2,3,Russian / Cyrillic,Russian pop / pop-rap,international / non-local
Malcolm Todd,Earrings,24,9,40860,8,11,English / international,indie / alternative,international / non-local
Drake,Janice STFU,25,28,28331,3,4,English / international,melodic hip-hop / pop-rap,international / non-local
Jessica Shy,Apkabink,28,18,33171,169,170,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Bad Bunny,DtMF,30,20,31412,33,40,English / international,Latin / Afro / global rhythmic,international / non-local
F3miii,NOBLE,31,21,31280,5,10,English / international,Latin / Afro / global rhythmic,international / non-local
Michael Jackson,Beat It,33,17,34331,6,7,English / international,nostalgia catalog,international / non-local
Foje,Vaikystės Stogas,34,29,27768,44,64,Lithuanian / Baltic-language signal,unknown / needs manual verification,international / non-local
Tame Impala,Dracula,36,26,29346,36,37,English / international,indie / alternative,international / non-local
Jessica Shy,Vis Vien,37,35,27006,63,64,Lithuanian / local artist,pop / alt-pop,Lithuania / local
sombr,12 to 12,38,40,25349,45,46,English / international,indie / alternative,international / non-local
Olivia Rodrigo,the cure,42,59,22191,2,3,English / international,pop / alt-pop,international / non-local
Adrina,Sugrąžinu,43,46,24839,9,10,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Funky,Šypsenos,44,75,20340,17,23,Lithuanian / local artist,nostalgia catalog,Lithuania / local
Paulina Paukštaitytė,Pasilik Praeity,46,48,24509,76,81,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Atlanta,Man Patinka Taip Gyvent,47,155,15699,39,54,English / international,unknown / needs manual verification,international / non-local
sombr,back to friends,48,39,25772,63,67,English / international,indie / alternative,international / non-local
Djo,End of Beginning,51,44,25052,71,89,English / international,indie / alternative,international / non-local
Jessica Shy,Ašara,53,50,23940,51,53,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Solo Ansamblis,SAFARI,55,42,25261,2,3,Lithuanian / local artist,indie / alternative,Lithuania / local
Alexandra Căpitănescu,Choke Me,57,122,16931,3,4,English / international,pop / alt-pop,international / non-local
Michael Jackson,Human Nature,58,56,22492,4,6,English / international,nostalgia catalog,international / non-local
Michael Jackson,Chicago,59,47,24757,2,5,English / international,nostalgia catalog,international / non-local
Norbertas,Sapnas,60,114,17348,58,85,Lithuanian / local artist,pop / alt-pop,Lithuania / local
RAYE,WHERE IS MY HUSBAND!,62,79,19864,37,38,English / international,pop / alt-pop,international / non-local
Ravyn Lenae,Love Me Not,63,34,27174,66,68,English / international,pop / alt-pop,international / non-local
Sel,Sel 600,64,84,19266,11,25,Lithuanian / local artist,melodic hip-hop / pop-rap,Lithuania / local
Zara Larsson,Lush Life,65,57,22287,28,119,English / international,pop / alt-pop,international / non-local
Adrina,Kodėl,66,104,17807,11,11,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Drake,National Treasures,69,123,16899,3,4,English / international,melodic hip-hop / pop-rap,international / non-local
Kings of Leon,Sex on Fire,70,81,19687,4,80,English / international,rock / alternative,international / non-local
Aistė Pilvelytė,Leisk Sau,71,110,17503,31,74,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Black Eyed Peas,Meet Me Halfway,72,61,21837,3,44,English / international,dance-pop / electronic,international / non-local
Adomas Vyšniauskas,Jeigu Žinai Ko Tu Nori,73,167,15222,71,82,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Evgenya Redko,Čempionai,74,78,19997,20,32,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Olivia Dean,Man I Need,76,73,20380,38,42,English / international,pop / alt-pop,international / non-local
Taylor Swift,The Fate of Ophelia,77,121,17075,35,36,English / international,pop / alt-pop,international / non-local
Vance Joy,Riptide,78,97,18153,34,407,English / international,pop / alt-pop,international / non-local
G&G Sindikatas,Laikas Keistis,79,101,17969,43,61,Lithuanian / local artist,melodic hip-hop / pop-rap,Lithuania / local
Bad Bunny,NUEVAYoL,82,98,18060,12,21,English / international,Latin / Afro / global rhythmic,international / non-local
Rokas Yan,Skauda,83,100,17972,19,32,Lithuanian / local artist,pop / alt-pop,Lithuania / local
Alex Warren,Ordinary,85,196,14440,63,70,English / international,unknown / needs manual verification,international / non-local
The Police,Every Breath You Take,88,71,20711,72,81,English / international,nostalgia catalog,international / non-local
Jessica Shy,Dėl Tavęs,90,199,14373,143,146,Lithuanian / local artist,pop / alt-pop,Lithuania / local
The Neighbourhood,Sweater Weather,92,69,20752,282,379,English / international,indie / alternative,international / non-local
Sel,Perlai,95,68,21035,108,146,Lithuanian / local artist,melodic hip-hop / pop-rap,Lithuania / local
Bad Bunny,BAILE INoLVIDABLE,97,99,17978,8,17,English / international,Latin / Afro / global rhythmic,international / non-local
FOJE,Kitoks Pasaulis,100,70,20736,24,52,Lithuanian / local artist,rock / alternative,Lithuania / local
