genre_category,song_count,top_20_count,top_50_count,top_100_count,top_10_count,weekly_streams,avg_weeks_on_chart,best_peak_rank,local_artist_song_count,weekly_streams_share
pop_alt_pop,68,7,16,31,2,1471848,70.1,1,47,0.3426
indie_alternative,23,3,9,14,2,516901,75.4,1,6,0.1203
dance_electronic,23,2,7,14,1,498731,54.7,1,5,0.1161
melodic_hiphop_poprap,20,1,6,13,1,458062,84.4,1,8,0.1066
unknown,26,1,1,1,0,417815,65.5,1,0,0.0973
nostalgia_catalog,11,2,3,8,1,250566,20.4,7,2,0.0583
russian_pop_rap,11,1,2,6,1,242162,42.2,3,0,0.0564
kpop_global,5,2,2,3,2,158262,42.4,1,0,0.0368
latin_afro_global,6,1,2,6,0,139440,20.7,1,0,0.0325
rock_alternative,6,0,1,3,0,117148,61.7,5,3,0.0273
other_european_pop,1,0,1,1,0,25335,4.0,2,0,0.0059
