source,extraction_date,keyword_source,search_rank,video_id,url,title,channel,view_count,upload_date,duration_seconds,song_type,single_track_candidate,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,genre_category_label,classification_note,youtube_search_view_rank
YouTube search via yt-dlp,2026-06-14,polska muzyka taneczna,6,JvxG3zl_WhU,https://www.youtube.com/watch?v=JvxG3zl_WhU,WEEKEND - Ona Tańczy Dla Mnie - Official Video (2012),WEEKEND - Oficjalny,151030205,,,official video / MV,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",1
YouTube search via yt-dlp,2026-06-14,polska muzyka,5,vum3M54GY-4,https://www.youtube.com/watch?v=vum3M54GY-4,✔️ NIE ŚPIĘ 💔❤️/Nowa Polska Muzyka 2026 | Top Hity,antartlife,13121449,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",2
YouTube search via yt-dlp,2026-06-14,polskie piosenki,1,ZzZ1qmXZBuY,https://www.youtube.com/watch?v=ZzZ1qmXZBuY,"„Hej, sokoły!” - Polska piosenka ludowa",Ingen,11573043,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,folk / traditional,folk_traditional,folk / traditional,"Search-result metadata; view_count may be global YouTube views, not country-only views.",3
YouTube search via yt-dlp,2026-06-14,polska muzyka,1,AkE-XEwuRtg,https://www.youtube.com/watch?v=AkE-XEwuRtg,„Ciężkie czasy legionera” – Polska Pieśń Legionowa,Ingen,6658525,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",4
YouTube search via yt-dlp,2026-06-14,polska muzyka taneczna,4,Sj0sxGE4ceg,https://www.youtube.com/watch?v=Sj0sxGE4ceg,DISCO POLO W REMIXACH 2026 🎧⛔️ DISCO POLO 2026 REMIX 🎧⛔️ SKŁADANKA DISCO POLO 2026 🎧⛔️ MEGA MIX,Disco Polo Remixach,6140796,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",5
YouTube search via yt-dlp,2026-06-14,polska muzyka taneczna,1,TfjWKGhhIlw,https://www.youtube.com/watch?v=TfjWKGhhIlw,Disco Polo 2026 Nowość ⚡⚡ Disco Polo Hity 2026 ❗❗ Największe Hity Disco Polo 2026 ✨✨ Mega Hity,DISCO HITS,5402863,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",6
YouTube search via yt-dlp,2026-06-14,polska muzyka taneczna,5,raqVXEm3PLs,https://www.youtube.com/watch?v=raqVXEm3PLs,NAJLEPSZE STARE POLSKIE HITY! • SKŁADANKA POLSKICH PIOSENEK • POP🔥,Top Music,3243403,,,playlist / compilation / long mix,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",7
YouTube search via yt-dlp,2026-06-14,polskie piosenki,2,T96wR54Bu50,https://www.youtube.com/watch?v=T96wR54Bu50,Polska Pieśń Ludowa - Czerwone Jagody,Folk Songs International,2545745,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,folk / traditional,folk_traditional,folk / traditional,"Search-result metadata; view_count may be global YouTube views, not country-only views.",8
YouTube search via yt-dlp,2026-06-14,polski rap,1,MobRzCGOmV4,https://www.youtube.com/watch?v=MobRzCGOmV4,"Polska Raper ""Hip Hop"" Hiphop Underground Raper Polska",ERPEKA CS,2015146,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",9
YouTube search via yt-dlp,2026-06-14,polska muzyka,2,iQOf0XR6JWI,https://www.youtube.com/watch?v=iQOf0XR6JWI,Czerwone Jagody Polska piosenka ludowa [+pol. napisy],Mattia von Sigmund,1595148,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,folk / traditional,folk_traditional,folk / traditional,"Search-result metadata; view_count may be global YouTube views, not country-only views.",10
YouTube search via yt-dlp,2026-06-14,polskie piosenki,3,Z6JfIAeGbz0,https://www.youtube.com/watch?v=Z6JfIAeGbz0,"W moim ogródeku Polska Pieśń Ludowa [+eng. sub, HQ]",Mattia von Sigmund,1465083,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,folk / traditional,folk_traditional,folk / traditional,"Search-result metadata; view_count may be global YouTube views, not country-only views.",11
YouTube search via yt-dlp,2026-06-14,polski rap,5,1djrDB8imxs,https://www.youtube.com/watch?v=1djrDB8imxs,Peja x Paluch x Sokół - Wszyscy Święci (BraKe Blend),BraKe,1004521,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",12
YouTube search via yt-dlp,2026-06-14,polski pop,2,hBgpwLpI8N4,https://www.youtube.com/watch?v=hBgpwLpI8N4,POLSKIE HITY 2025 🧡 NAJLEPSZE POLSKIE REMIXY 🧡 NOWE WYDANIE NAJLEPSZE POLSKIE PIOSENKI,DJ Tunne Edm,943953,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",13
YouTube search via yt-dlp,2026-06-14,polski rap,4,NX7fo8Nid0A,https://www.youtube.com/watch?v=NX7fo8Nid0A,"Najmocniejszy Polski Rap 2025 | Brutalna Prawda z Ulicy, Emocje i Energia - HAWUDEPE",HAWUDEPE,756176,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",14
YouTube search via yt-dlp,2026-06-14,polski rap,6,JjtsL0MdRRs,https://www.youtube.com/watch?v=JjtsL0MdRRs,POLSKI HIP HOP - JEST THE BEST - Składanka 2021 - Dj Wojtys,DjWojtys Kraków,442480,,,playlist / compilation / long mix,yes,Polish / local artist,local-language / local signal,Polish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",15
YouTube search via yt-dlp,2026-06-14,polskie piosenki,6,0tlDbhIFLEk,https://www.youtube.com/watch?v=0tlDbhIFLEk,Wiązanka najpiękniejszych polskich piosenek ❤️ spokojne przeboje do słuchania,Melodie Serca,374870,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",16
YouTube search via yt-dlp,2026-06-14,polski rap,2,slrHRqOnQzU,https://www.youtube.com/watch?v=slrHRqOnQzU,Ketz x Polish Mic - B2B (Music Video) | Threekey Hub,Threekey Hub,324532,,,official video / MV,yes,English / international or unknown,international / unknown,Polish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",17
YouTube search via yt-dlp,2026-06-14,polskie piosenki,5,Qi0Vg3CDDaY,https://www.youtube.com/watch?v=Qi0Vg3CDDaY,"Powrót do melodii dzieciństwa – dźwięki, które nas wychowały 🍂 Stare Polskie Piosenki 60i 70i 80",Stare Dobre Czasy,316913,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",18
YouTube search via yt-dlp,2026-06-14,polskie piosenki miłosne,5,I2P-KjRyNu8,https://www.youtube.com/watch?v=I2P-KjRyNu8,💞Najpiękniejsze Piosenki o Miłości | Romantyczne Disco Polo 2025 💕,Twoje Piosenki,286856,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",19
YouTube search via yt-dlp,2026-06-14,polska muzyka taneczna,3,NRHS6eKkNwQ,https://www.youtube.com/watch?v=NRHS6eKkNwQ,🔥 Nowe Piosenki 2026 🎧 POP Club & Radio Hits Vol.22,Polskie Hity Radio,168007,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",20
YouTube search via yt-dlp,2026-06-14,polskie piosenki miłosne,2,-f0qoI5m2i0,https://www.youtube.com/watch?v=-f0qoI5m2i0,SKŁADANKA PIĘKNYCH PIOSENEK O MIŁOŚCI Najpiękniejsza Składanka Hitów,DJ Rafpix Music,143248,,,playlist / compilation / long mix,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",21
YouTube search via yt-dlp,2026-06-14,polski pop,3,_FAwMphc4SM,https://www.youtube.com/watch?v=_FAwMphc4SM,🎶 Polska Muzyka POP 2026 – Nowe Hity Vol.27,Polskie Hity Radio,59820,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",22
YouTube search via yt-dlp,2026-06-14,polski rap,3,sUpkkvwRTHM,https://www.youtube.com/watch?v=sUpkkvwRTHM,Ketz - Serce Polskie (Teledysk) | Trzykluczowe centrum,Threekey Hub,27491,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,Polish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",23
YouTube search via yt-dlp,2026-06-14,polski pop,5,rfrEUuzs81s,https://www.youtube.com/watch?v=rfrEUuzs81s,Polski Hit 2026 – Najlepsza Nowa Piosenki |Pop & Dance,Błysk Pop ,20179,,,song video / unknown format,yes,Polish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",24
YouTube search via yt-dlp,2026-06-14,polski pop,4,cRMPjtsSNtA,https://www.youtube.com/watch?v=cRMPjtsSNtA,Polish Pop Mix 2026 | Najlepsze Polskie Hity i Nowe Piosenki,Polska Melodia,7642,,,playlist / compilation / long mix,yes,Polish / local artist,local-language / local signal,Polish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",25
