source,extraction_date,keyword_source,search_rank,video_id,url,title,channel,view_count,upload_date,duration_seconds,song_type,single_track_candidate,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,genre_category_label,classification_note,youtube_search_view_rank
YouTube search via yt-dlp,2026-06-14,türkçe pop,1,icZ-OlVSvb4,https://www.youtube.com/watch?v=icZ-OlVSvb4,Gülşen - Bangır Bangır,netd müzik,506859312,,,song video / unknown format,yes,Turkish / local artist,local-language / local signal,Turkish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",1
YouTube search via yt-dlp,2026-06-14,türkçe dans müziği,5,gRdaIqQM-Js,https://www.youtube.com/watch?v=gRdaIqQM-Js,Simge - Miş Miş,netd müzik,271969109,,,song video / unknown format,yes,Turkish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",2
YouTube search via yt-dlp,2026-06-14,türkçe şarkılar,3,3OGl69sY9Ys,https://www.youtube.com/watch?v=3OGl69sY9Ys,Çağla & Doğu Swag - Seni Düşündüm (Prod. by Büken),Eva Records,271043479,,,song video / unknown format,yes,Turkish / local artist,local-language / local signal,Turkish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",3
YouTube search via yt-dlp,2026-06-14,türkçe müzik,5,JWLWczFtCag,https://www.youtube.com/watch?v=JWLWczFtCag,BLOK3 - GİT (Official Music Video),Blok3,265766490,,,official video / MV,yes,Turkish / local artist,local-language / local signal,Turkish rap / trap,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",4
YouTube search via yt-dlp,2026-06-14,türkçe rap,4,mY--4-vzY6E,https://www.youtube.com/watch?v=mY--4-vzY6E,Ceza - Suspus (Official Music Video),Esen Müzik,263247680,,,official video / MV,yes,Turkish / local artist,local-language / local signal,Turkish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",5
YouTube search via yt-dlp,2026-06-14,türkçe şarkılar,6,rvdwMJDpeuY,https://www.youtube.com/watch?v=rvdwMJDpeuY,Burak Bulut & Kurtuluş Kuş & Mustafa Ceceli feat. İrem Derici - Rastgele,Mahzen Fabrick,250494431,,,song video / unknown format,yes,Turkish / local artist,local-language / local signal,Turkish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",6
YouTube search via yt-dlp,2026-06-14,türkçe rap,2,kBvL8nSvymA,https://www.youtube.com/watch?v=kBvL8nSvymA,Canbay & Wolker feat. Heijan & Muti - Bertaraf (Official Video) #SIR,Canbay & Wolker,215236161,,,official video / MV,yes,Turkish / local artist,local-language / local signal,Turkish rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",7
YouTube search via yt-dlp,2026-06-14,türkçe pop,3,Tb-zjsEqr1k,https://www.youtube.com/watch?v=Tb-zjsEqr1k,Tuğba Yurt - İnceden İnceden,netd müzik,204993517,,,song video / unknown format,yes,Turkish / local artist,local-language / local signal,Turkish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",8
YouTube search via yt-dlp,2026-06-14,türkçe dans müziği,1,qIbQqf369QI,https://www.youtube.com/watch?v=qIbQqf369QI,Eylem Aktaş - Yüreğimden Tut (Akustik),Eylem Aktaş Official,176339458,,,song video / unknown format,yes,Turkish / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",9
YouTube search via yt-dlp,2026-06-14,türkçe müzik,6,4goQBlcdVUk,https://www.youtube.com/watch?v=4goQBlcdVUk,Bengü - Saygımdan,netd müzik,153612528,,,song video / unknown format,yes,Turkish / local artist,local-language / local signal,Turkish pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",10
