source,extraction_date,keyword_source,search_rank,video_id,url,title,channel,view_count,upload_date,duration_seconds,song_type,single_track_candidate,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,genre_category_label,classification_note,youtube_search_view_rank
YouTube search via yt-dlp,2026-06-14,nhạc tình yêu Việt,1,0R8IbpKXavM,https://www.youtube.com/watch?v=0R8IbpKXavM,MIN - TRÊN TÌNH BẠN DƯỚI TÌNH YÊU | OFFICIAL MUSIC VIDEO,MIN OFFICIAL,141850616,,,official video / MV,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",1
YouTube search via yt-dlp,2026-06-14,V-pop,1,7m8ek8D9me0,https://www.youtube.com/watch?v=7m8ek8D9me0,MIN - CÀ PHÊ | OFFICIAL MUSIC VIDEO,MIN OFFICIAL,38614951,,,official video / MV,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",2
YouTube search via yt-dlp,2026-06-14,rap Việt,6,vMxNIcVl-Hg,https://www.youtube.com/watch?v=vMxNIcVl-Hg,ANH ĐÃ LÀM GÌ ĐÂU - Nhật Hoàng tự sự kết hợp cùng Thuỳ Chi đầy cảm xúc | Rap Việt 2024 [Performance],Vie Channel - MUSIC,22712912,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",3
YouTube search via yt-dlp,2026-06-14,rap Việt,4,vrcjoqeLeJI,https://www.youtube.com/watch?v=vrcjoqeLeJI,"QUA TỪNG KHUNG HÌNH - Robber, NGẮN tạo cơn địa chấn dâng trào cảm xúc | Rap Việt 2024 [Performance]",Vie Channel - MUSIC,20673049,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",4
YouTube search via yt-dlp,2026-06-14,rap Việt,2,Zt7eyyAIEDw,https://www.youtube.com/watch?v=Zt7eyyAIEDw,HUSTLANG ALL DAY - Robber khuyên hãy luôn tỉnh táo trước những lời khen |Rap Việt 2024 [Performance],Vie Channel - MUSIC,12447654,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",5
YouTube search via yt-dlp,2026-06-14,bài hát Việt Nam,2,BgoS3Dq1qKM,https://www.youtube.com/watch?v=BgoS3Dq1qKM,"3 BÀI HÁT VIỆT NAM RUNG ĐỘNG TRIỆU CON TIM - Một Vòng Việt Nam, Hào Khí Việt Nam, Hello Việt Nam",Kênh Thiếu Nhi - BHMEDIA,9751335,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",6
YouTube search via yt-dlp,2026-06-14,nhạc Việt,4,m7Wya6Z-QdM,https://www.youtube.com/watch?v=m7Wya6Z-QdM,"Từng Là, Giữa Đại Lộ Đông Tây, Thu Cuối, Có Em Chờ  - Những Bản Hits Nhạc Trẻ Nhẹ Nhàng Cực Chill",Soul Tracks,7614417,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",7
YouTube search via yt-dlp,2026-06-14,nhạc dance Việt,2,XOTOi75dH1Q,https://www.youtube.com/watch?v=XOTOi75dH1Q,[HOT TIKTOK REMIX MUSIC - PEDESTRIAN STREET] Lingering Raindrops - AIR Media Dance By B-Wild,B-Wild Official,2176558,,,song video / unknown format,yes,English / international or unknown,international / unknown,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",8
YouTube search via yt-dlp,2026-06-14,nhạc Việt,3,M59PVEaPvDY,https://www.youtube.com/watch?v=M59PVEaPvDY,TÌNH KHÚC BẤT HỦ-Vol.3 | Tuyển Tập 10 Ca Khúc Nhạc Trữ Tình Xưa | Covered by Nhạc Việt 365,NHẠC VIỆT 365,1531476,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",9
YouTube search via yt-dlp,2026-06-14,nhạc Việt,6,jK_qE4mAUGY,https://www.youtube.com/watch?v=jK_qE4mAUGY,Nhạc Chill Ballad Nhẹ Nhàng - Nhạc Trẻ Ballad Chill Việt | Chọn Lọc 20 Bài Hát Tình Yêu Nhẹ Nhàng,Chà Là Chill,1192024,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",10
YouTube search via yt-dlp,2026-06-14,rap Việt,5,z5m6QqGKe7U,https://www.youtube.com/watch?v=z5m6QqGKe7U,Top những BẢN RAP cực bắt tai của loạt RAPPER khủng tại 2 mùa Rap Việt nhất định đã từng nghe qua,Vie Channel - MUSIC,1172084,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",11
YouTube search via yt-dlp,2026-06-14,bài hát Việt Nam,3,KvRBS4U8_RQ,https://www.youtube.com/watch?v=KvRBS4U8_RQ,"LK VIẾT TIẾP CÂU CHUYỆN HÒA BÌNH & TRƯỜNG SA CA - Tuyển Tập Bài Hát Về Tình Yêu Quê Hương, Đất Nước",NGUYỄN VĂN CHUNG MUSIC,1130063,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",12
YouTube search via yt-dlp,2026-06-14,V-pop,5,yROm8QOliNg,https://www.youtube.com/watch?v=yROm8QOliNg,"Những Bản Pop Ballad Việt Hay Nhất | Lou Hoàng, SOOBIN, JustaTee... | Playlist VPOP Hits",Vietsub Mỗi Ngày,1118831,,,playlist / compilation / long mix,yes,Vietnamese / local artist,local-language / local signal,V-pop / R&B,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",13
YouTube search via yt-dlp,2026-06-14,V-pop,2,rFDMjGpPX9k,https://www.youtube.com/watch?v=rFDMjGpPX9k,V-Pop,Lindsey Stirling,1077558,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",14
YouTube search via yt-dlp,2026-06-14,bài hát Việt Nam,5,P-XMIOcZN3I,https://www.youtube.com/watch?v=P-XMIOcZN3I,Album KHÁT VỌNG TUỔI TRẺ & MỘT VÒNG VIỆT NAM - Tùng Dương | Ca Khúc Cách Mạng Hay Nhất Mọi Thời Đại,TUNG DUONG OFFICIAL,1021870,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese pop / mixed,pop_alt_pop,pop / alt-pop,"Search-result metadata; view_count may be global YouTube views, not country-only views.",15
YouTube search via yt-dlp,2026-06-14,rap Việt,3,DUhuOYsHjLs,https://www.youtube.com/watch?v=DUhuOYsHjLs,Bùng nổ với playlist bản rap triệu view replay không ngừng từ các quái vật cực chiến 2 mùa Rap Việt,Vie Channel - MUSIC,923805,,,playlist / compilation / long mix,yes,Vietnamese / local artist,local-language / local signal,Vietnamese rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",16
YouTube search via yt-dlp,2026-06-14,nhạc tình yêu Việt,4,NPWmZ1yJn-E,https://www.youtube.com/watch?v=NPWmZ1yJn-E,"Một Nhà, Cưới Thôi, Yêu 5, Em Đồng Ý, Bên Trên Tầng Lầu - Top Hit Nhạc Trẻ Gây Nghiện Cực Chill",Soul Tracks,910658,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,pop ballad / love song,pop_ballad,pop ballad / love song,"Search-result metadata; view_count may be global YouTube views, not country-only views.",17
YouTube search via yt-dlp,2026-06-14,rap Việt,1,lrpOGToQtYk,https://www.youtube.com/watch?v=lrpOGToQtYk,TỔNG HỢP BẢN RAP TOP HIT cực đỉnh oanh tạc sân khấu Rap Việt 2024,Vie Channel - MUSIC,837186,,,song video / unknown format,yes,Vietnamese / local artist,local-language / local signal,Vietnamese rap / hip-hop,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"Search-result metadata; view_count may be global YouTube views, not country-only views.",18
YouTube search via yt-dlp,2026-06-14,nhạc dance Việt,3,uY7oscoVcgs,https://www.youtube.com/watch?v=uY7oscoVcgs,Liên Khúc Italo Disco Megamix 2026 – Top Hits Retro Dance | VietDisco AI,VietDisco AI,587260,,,playlist / compilation / long mix,yes,Vietnamese / local artist,local-language / local signal,dance-pop / electronic,dance_electronic,dance-pop / electronic,"Search-result metadata; view_count may be global YouTube views, not country-only views.",19
