track_name,artist_name,album_name,release_date,duration_ms,explicit,spotify_id,popularity,spotify_url
Anti-Hero,Taylor Swift,Midnights,2022-10-21,200690,False,0V3wPSX9ygBnCm8psDIegu,,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
Anti-Hero,Taylor Swift,Midnights (The Til Dawn Edition),2023-05-26,200690,False,5qIHFdkW6phMsTZlN2g8Lc,,https://open.spotify.com/track/5qIHFdkW6phMsTZlN2g8Lc
The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,2025-10-03,226073,False,53iuhJlwXhSER5J2IYYv1W,,https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W
Anti-Hero,Taylor Swift,Midnights (3am Edition),2022-10-22,200690,False,02Zkkf2zMkwRGQjZ7T4p8f,,https://open.spotify.com/track/02Zkkf2zMkwRGQjZ7T4p8f
Anti-Hero - Kungs Remix,"Taylor Swift, Kungs",Anti-Hero (Remixes),2022-11-11,194612,False,2oWpe2L8ypC080BxpDVuTY,,https://open.spotify.com/track/2oWpe2L8ypC080BxpDVuTY
Anti-Hero - Roosevelt Remix,"Taylor Swift, Roosevelt",Anti-Hero (Remixes),2022-11-11,299203,False,4XiypEn8iKbeP1TbTqdfk5,,https://open.spotify.com/track/4XiypEn8iKbeP1TbTqdfk5
Anti-Hero (feat. Bleachers),"Taylor Swift, Bleachers",Anti-Hero (feat. Bleachers),2022-11-08,228397,True,0j0gJqxitjhmmkrW56dtQH,,https://open.spotify.com/track/0j0gJqxitjhmmkrW56dtQH
Anti-Hero (feat. Bleachers),"Taylor Swift, Bleachers",Anti-Hero (Remixes),2022-11-11,228397,True,16M9Rxid0nXhVmme7lzVwN,,https://open.spotify.com/track/16M9Rxid0nXhVmme7lzVwN
Bentley Coupe,Cassper Nyovest,Thuto,2017-05-05,319760,True,0cdr9MoU7Ds2xdUoOWU9Zv,,https://open.spotify.com/track/0cdr9MoU7Ds2xdUoOWU9Zv
So rechts,Kraftklub,Sterben in Karl-Marx-Stadt,2025-11-27,167882,False,5ZYotdWl8uYZwmbzAYE0uU,,https://open.spotify.com/track/5ZYotdWl8uYZwmbzAYE0uU
