artist_name,seed_song_title,search_query,query_variant,candidate_rank,video_id,candidate_title,channel_title,published_at,youtube_url,description_preview,view_count,like_count,comment_count,duration,category_id,default_language,default_audio_language,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes,pipeline_status
Tarkan,Şımarık,Tarkan Şımarık,base,1,cpp69ghR1IM,TARKAN - Şımarık (Official Music Video),Tarkan,2012-05-01T16:28:30Z,https://www.youtube.com/watch?v=cpp69ghR1IM,1997 - TARKAN - Ölürüm Sana - Şımarık Takmış koluna elin adamını Beni orta yerimden çatlatıyor Ağzında sakızı şişirip şişirip ...,100807789,737075,3,PT3M12S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Şımarık,Tarkan Şımarık,base,2,9UAwX1slv8g,TARKAN - Şımarık,İSTANBUL PLAK,2013-05-22T12:53:10Z,https://www.youtube.com/watch?v=9UAwX1slv8g,[TARKAN - Ölürüm Sana © 1997 İstanbul Plak] iTunes: http://geni.us/3ma http://www.tarkan.com https://www.facebook.com/tarkan ...,9477934,41144,2285,PT4M,10,tr,,,,,,,,,,needs_manual_review
Tarkan,Şımarık,Tarkan Şımarık,base,3,pu9co0YRKHg,Simarik,Tarkan - Topic,2015-11-20T18:00:58Z,https://www.youtube.com/watch?v=pu9co0YRKHg,Provided to YouTube by The Orchard Enterprises Simarik · Tarkan Arabian 2000 & 1 Nights - Vol.1 ℗ 2007 Take 5 Music ...,17644947,99996,628,PT3M13S,10,en,,,,,,,,,,needs_manual_review
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,1,NAHRpEqgcL4,TARKAN - Kuzu Kuzu (Official Music Video),Tarkan,2012-05-01T16:28:27Z,https://www.youtube.com/watch?v=NAHRpEqgcL4,2001 - TARKAN - Karma - Kuzu Kuzu (Original) Bak kırıldı kolum kanadım Olmadı tutunamadım Zor yokluğun çok zor Alışamadım ...,164501134,551313,30749,PT4M2S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,2,NBhOccvlkIY,Tarkan - Kuzu Kuzu | Remastered HD (1080p) Stereo,Klip Arşivi (IboYLDz & GR Filters),2021-12-25T18:44:19Z,https://www.youtube.com/watch?v=NBhOccvlkIY,Klip anca bu kadar kaliteli oldu .. İdare edin artık :) RemastereD by GR Filters #tarkan #kuzukuzu #hd.,19560,197,9,PT3M58S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,3,_xgryOIbJj4,Kuzu Kuzu,Tarkan - Topic,2018-05-04T05:58:00Z,https://www.youtube.com/watch?v=_xgryOIbJj4,Provided to YouTube by Daphne Media Music Kuzu Kuzu · Tarkan Karma ℗ İstanbul Plak Released on: 2001-07-23 ...,7114099,29883,328,PT3M54S,10,en,,,,,,,,,,needs_manual_review
Tarkan,Dudu,Tarkan Dudu,base,1,SCZgGVqVsbY,TARKAN - Dudu (Official Music Video),Tarkan,2012-05-01T16:28:29Z,https://www.youtube.com/watch?v=SCZgGVqVsbY,2003 - TARKAN - Dudu Ağlamadan ayrılık olmaz Hatıralar uslu durmaz Kalanlar gideni gönlünde taşır Aşk sevene yük olmaz Biz ...,380860552,1191156,49814,PT4M24S,10,tr,tr,,,,,,,,,needs_manual_review
Tarkan,Dudu,Tarkan Dudu,base,2,mtJGJP50zNw,Tarkan - Dudu,Cerice Janan,2006-10-11T04:40:29Z,https://www.youtube.com/watch?v=mtJGJP50zNw,Lyrics: Dudu / Woman There's no parting without tears Memories can't be controlled Those left keep those gone in their hears ...,54655516,122975,9158,PT4M23S,24,en,,,,,,,,,,needs_manual_review
Tarkan,Dudu,Tarkan Dudu,base,3,Lmc_haH8_Yg,ℂ⋆Tarkan | Dudu &quot;Official Music Video&quot; FULL HD,ℂ⋆Tarkanland,2021-12-08T05:54:11Z,https://www.youtube.com/watch?v=Lmc_haH8_Yg,2003. Hitt Müzik.,25679,387,11,PT4M29S,10,es,,,,,,,,,,needs_manual_review
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,1,NudUovOABjQ,Mustafa Ceceli - Gül Rengi,netd müzik,2015-04-07T09:08:26Z,https://www.youtube.com/watch?v=NudUovOABjQ,"Mustafa Ceceli'nin, DMC etiketiyle yayınlanan ""Kalpten"" albümünde yer alan ""Gül Rengi"" isimli şarkısı, video klibiyle netd müzik'te ...",224495831,723430,30115,PT3M47S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,2,bsg2LRL_1bo,Kapışma 7.Bölüm Mustafa Ceceli ve Canan Düet,Show TV,2015-08-12T07:38:23Z,https://www.youtube.com/watch?v=bsg2LRL_1bo,Show TV YouTube Kanalına Abone Ol → http://showtv.tv/AGqcyj BAŞVURU FORMU: http://showtv.com.tr/basvuru Kapışma Her ...,6357093,42409,1790,PT5M6S,27,tr,,,,,,,,,,needs_manual_review
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,3,YhhTilqRDuw,Mustafa Ceceli - Gül Rengi,DMC,2015-07-16T09:05:41Z,https://www.youtube.com/watch?v=YhhTilqRDuw,Mustafa Ceceli - Gül Rengi http://facebook.com/dmccomtr http://twitter.com/dmccomtr http://instagram.com/dmccomtr.,97526,642,30,PT3M45S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,1,tuAYyDO5fEs,Mustafa Ceceli - Sultanım,netd müzik,2015-12-01T10:00:02Z,https://www.youtube.com/watch?v=tuAYyDO5fEs,"Mustafa Ceceli'nin, Ceceli Müzik Prodüksiyon etiketiyle yayınlanan ""Aşk İçin Gelmişiz"" albümünde yer alan ""Sultanım"" isimli ...",162312032,521148,27491,PT4M47S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,2,EWR1OS1qPiY,Mustafa Ceceli - &quot;Sultanım&quot;,Ahmed Hulusi,2015-12-10T18:43:28Z,https://www.youtube.com/watch?v=EWR1OS1qPiY,"http://ahmedhulusi.org/ MUSTAFA CECELİ - ""SULTANIM"" SULTANIM Can yakan gözlerini, bak görmeye geldim Abu hayat ...",418512,2382,,PT4M33S,10,tr,tr,,,,,,,,,needs_manual_review
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,3,lZkJycz_FxE,Mustafa Ceceli - Sultanım (Kral Pop Akustik),Kral Müzik,2016-03-16T08:25:41Z,https://www.youtube.com/watch?v=lZkJycz_FxE,KRAL MÜZIK'e Abone Olmak Için; https://www.youtube.com/channel/UCEAW_kmPVjxTC50vuLyKOQA?sub_confirmation=1 ...,68649,528,122,PT4M36S,10,tr,,,,,,,,,,needs_manual_review
