artist_name,song_title,search_query,youtube_video_id,youtube_url,channel_title,published_at,view_count,like_count,comment_count,channel_type,manual_valid,language_verified,is_music_video,ai_suno_related,genre_style,manual_theme,review_notes,transcript_available,transcript_language,transcript_is_generated,transcript_clean,transcript_quality,lyric_language_verified,transcript_review_notes,pipeline_status
Tarkan,Şımarık,Tarkan Şımarık,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Tarkan,Dudu,Tarkan Dudu,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Müslüm Gürses,Vay Canım Vay,Müslüm Gürses Vay Canım Vay,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Müslüm Gürses,Nilüfer,Müslüm Gürses Nilüfer,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
İbrahim Tatlıses,Aramam,İbrahim Tatlıses Aramam,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
İbrahim Tatlıses,Mavi Mavi,İbrahim Tatlıses Mavi Mavi,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Selda Bağcan,Gesi Bağları,Selda Bağcan Gesi Bağları,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Selda Bağcan,İnce İnce Bir Kar Yağar,Selda Bağcan İnce İnce Bir Kar Yağar,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Neşet Ertaş,Gönül Dağı,Neşet Ertaş Gönül Dağı,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Neşet Ertaş,Zahidem,Neşet Ertaş Zahidem,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Sezen Aksu,Gülümse,Sezen Aksu Gülümse,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Sezen Aksu,Tükeneceğiz,Sezen Aksu Tükeneceğiz,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Ezhel,İmkansızım,Ezhel İmkansızım,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Ezhel,Felaket,Ezhel Felaket,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Barış Manço,Gülpembe,Barış Manço Gülpembe,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Barış Manço,Dönence,Barış Manço Dönence,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Cem Karaca,Resimdeki Gözyaşları,Cem Karaca Resimdeki Gözyaşları,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
Cem Karaca,Tamirci Çırağı,Cem Karaca Tamirci Çırağı,,,,,,,,,,,,,,,,,,,,,,,ready_for_search
