video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,search_query,description_preview,auto_review_flag,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes,pipeline_status
Tb-zjsEqr1k,Tuğba Yurt - İnceden İnceden,netd müzik,2017-09-20T09:00:04Z,https://www.youtube.com/watch?v=Tb-zjsEqr1k,207359484,403242,13263,Turkish pop music,"Tuğba Yurt'un, DMC etiketiyle yayınlanan ""İnceden İnceden"" isimli tekli çalışması, video klibiyle netd müzik'te. Söz: Du",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
GR6r-jIryH0,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video),Poll Production,2025-07-30T16:30:07Z,https://www.youtube.com/watch?v=GR6r-jIryH0,60035427,120570,3138,Turkish pop music,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video) Abone OL( Subscribe): http://bit.ly/28R8iGZ Spotify: https://bit,likely_tutorial,yes,yes,yes,no,,,,,selected_for_transcript_expansion
_NoTqg152B0,"Sefo, Demet Akalın - Yerinde Dur (Official Video)",Sefo,2025-06-26T21:00:07Z,https://www.youtube.com/watch?v=_NoTqg152B0,312642189,751003,42243,Turkish pop music,Official Video by Sefo & Demet Akalın performing Yerinde Dur (C) 2025 3TR6AP2 exclusive licensed to Sony Music Turkey Sö,likely_mix_or_compilation,yes,yes,yes,no,,,,,selected_for_transcript_expansion
rYJjgfCfBOU,Sezen Aksu - Ey Aşk [Official Audio],Sezen Aksu,2025-06-26T21:01:03Z,https://www.youtube.com/watch?v=rYJjgfCfBOU,87698273,162081,7707,Turkish pop music,"Sezen Aksu - ""Paşa Gönül Şarkıları"" albümünü tüm platformlarda dinleyin: https://SezenAksu.lnk.to/PasaGonulSarkilari - S",likely_mix_or_compilation,yes,yes,yes,no,,,,,selected_for_transcript_expansion
YqNqw4o-JBY,Emrah Karaduman feat. Murat Dalkılıç - Kırk Yılda Bir Gibisin,netd müzik,2015-06-18T09:52:57Z,https://www.youtube.com/watch?v=YqNqw4o-JBY,259059861,607371,17898,Turkish pop music,"Emrah Karaduman'ın, DMC etiketiyle yayınlanan ""Toz Duman"" albümünde yer alan ve Murat Dalkılıç'ın seslendirdiği ""Kırk Yı",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
icZ-OlVSvb4,Gülşen - Bangır Bangır,netd müzik,2015-04-28T17:48:30Z,https://www.youtube.com/watch?v=icZ-OlVSvb4,510019513,1238978,63491,Turkish pop music,"Gülşen'in, DMC etiketiyle yayınlanan ""Bangır Bangır"" albümünde yer alan ""Bangır Bangır"" isimli şarkısı, video klibiyle n",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
IQWkS1GyFRM,Cengiz Özkan - Bir Ay Doğar İlk Akşamdan Geceden I Ah İstanbul © 2000 Kalan Müzik,Kalan Müzik,2013-10-28T16:35:20Z,https://www.youtube.com/watch?v=IQWkS1GyFRM,112147974,289842,5707,Turkish folk song,▶Şarkıyı Playlist'e Kaydetmek İçin: https://orcd.co/cengizozkanahistanbul Cengiz Özkan'ın tüm şarkıları burada: https://,likely_mix_or_compilation,yes,yes,yes,no,,,,,selected_for_transcript_expansion
9oZIOfx87Ww,Bulut Gelir (Türkiye) | Ethno Catalonia 2023,Ethno Catalonia,2024-04-26T15:16:59Z,https://www.youtube.com/watch?v=9oZIOfx87Ww,2675152,27985,1346,Turkish folk song,Title: Bulut Gelir Performed by: EthnoCatalonia Orchestra Composer: Traditional (Türkiye) Main singer: Ceren Kaçar Main ,likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
mbY17Lr_wu4,Folk music from Turkey - Üsküdara,Arany Zoltán,2009-06-04T09:49:02Z,https://www.youtube.com/watch?v=mbY17Lr_wu4,1026575,11453,747,Turkish folk song,#turkish #folkmusic #aranyzoltan https://www.facebook.com/Arany-Zolt%C3%A1n-Music-274856225999515/ http://aranyzoltan.hu,likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
ih9nX3KZVfU,"""Ceddin Deden"" - Traditional Turkish March [Lyrics]",blinmaster1945,2023-02-16T18:26:33Z,https://www.youtube.com/watch?v=ih9nX3KZVfU,578586,8112,611,Turkish folk song,"'Ceddin Deden' is a popular and well-known Turkish and Ottoman march. We stand with Türkiye and Syria, all our prayers a",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
Z4fKe_EGw7k,ER TURAN / TÜRKÇE,TURAN ethno-folk ensemble,2021-02-23T18:00:14Z,https://www.youtube.com/watch?v=Z4fKe_EGw7k,28099697,283205,16621,Turkish folk song,"""ТҰРАН"" ансамблінің Түркі әлемінің ұранына айналған әйгілі ""ERTURAN"" композициясы түрік тілінде... Авторы:Тұран Сөзі: И.",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
cQKR_bcE2ug,Julia Kotova - Hey Gidi Dünya Hey - Turkish folk music,Julia Kotova,2022-09-27T10:21:35Z,https://www.youtube.com/watch?v=cQKR_bcE2ug,84934,1499,70,Turkish folk song,"Turkish folk song, folk music",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion
