video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,search_query,description_preview,auto_review_flag,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes,pipeline_status,transcript_available,transcript_language,transcript_is_generated,transcript_raw,transcript_clean,transcript_error,transcript_quality,lyric_language_verified,transcript_review_notes
Tb-zjsEqr1k,Tuğba Yurt - İnceden İnceden,netd müzik,2017-09-20T09:00:04Z,https://www.youtube.com/watch?v=Tb-zjsEqr1k,207359484,403242,13263,Turkish pop music,"Tuğba Yurt'un, DMC etiketiyle yayınlanan ""İnceden İnceden"" isimli tekli çalışması, video klibiyle netd müzik'te. Söz: Du",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion,yes,tr,no,Geri dönmek için geç kaldın Sıra sende üzüleceksin Varlığınla ne kazandırdın Yokluğunla ne kaybettireceksin Bir gün iki gün sonra çözülür Bağladığım karalar Önüme bakarım Taş olsan yoluma kalbim seni paralar Gel deneyelim diyorsun Olur  mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur  mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Geri dönmek için geç kaldın Sıra sende üzüleceksin Varlığınla ne kazandırdın Yokluğunla ne kaybettireceksin Bir gün iki gün sonra çözülür Bağladığım karalar Önüme bakarım Taş olsan yoluma kalbim seni paralar Gel deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur  mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur  mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden,Geri dönmek için geç kaldın Sıra sende üzüleceksin Varlığınla ne kazandırdın Yokluğunla ne kaybettireceksin Bir gün iki gün sonra çözülür Bağladığım karalar Önüme bakarım Taş olsan yoluma kalbim seni paralar Gel deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Geri dönmek için geç kaldın Sıra sende üzüleceksin Varlığınla ne kazandırdın Yokluğunla ne kaybettireceksin Bir gün iki gün sonra çözülür Bağladığım karalar Önüme bakarım Taş olsan yoluma kalbim seni paralar Gel deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden,,good,yes,Clear Turkish lyrics; suitable for analysis.
GR6r-jIryH0,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video),Poll Production,2025-07-30T16:30:07Z,https://www.youtube.com/watch?v=GR6r-jIryH0,60035427,120570,3138,Turkish pop music,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video) Abone OL( Subscribe): http://bit.ly/28R8iGZ Spotify: https://bit,likely_tutorial,yes,yes,yes,no,,,,,selected_for_transcript_expansion,yes,tr,yes,"Altın geçers >> deliler gibi yanıyorum yuvadan uçup gidiyorum yaşım neden büyük ama seni adım adım sayıp seviyorum heyecandan ismini bile kazıdım bir tık yüreğime. Senin aşk diyen o diline bile doyamadım. Telaşlanıyorum. Aradım seni çıkıp sokaklarım. İsyanım sana değil tüm aşklarım. Geceden içip içip sabahlarım çıkamam dedim. Çıkamadım olamadım. >> Evet. Evet. Biz geldik. Yıldızı söndürür bu güzellik. Öylesi az gelir. 40 yılda bir yaşarsın hayatında bir il. Görmek isteyen gece yattı. Gördü gitti olmayan aklı. Biz kendimiz için yaptık. Baktık düşmanlar daha meraklı. Sokaklar döner podyuma, senle çıkınca yine meydana. Düştü görenler tabii haklılar. Çünkü burada en güzel manzara. Gülüşün silah şakaklarda. Aradım seni sokaklarda. Hayatta yok bak bizim gibi. Bulamazsın kitaplarda. >> Heyecandan her gece hayalini unutursam ağlama. Unut beni. Bebeğim hayatta yok. Senin gibi bulamam dedim bulamadım. Aradım seni çıkıp sokaklara. İsyanım sana değil tüm aşklarım. Geceden içip biçip sabahları çıkamam dedim. Çıkamadın bulamadım. >> Bizimdir bütün meydan. Bizi gören herkesin sade heyecan. Doyamaz bakmayan nasıl doyacaksın sen anca öyle uzaktan bakacaksın. Olmadı böyle hiç bırak olmasın ne varsa o da eksik kalmasın. Buna söyle nasıl yürek yanmasın sen hep gül ki çiçekler solmasın. Hayat seçenekler sundu. Ben seçeneklerin hepsini aldım. İstediğim gibi değildir madem ben de istediklerini aldım. Bir baksana böyle kaldım ya da boşver kalmasın hakkım. Biz böyle çok güzel oldu. Düştü gören istiyor yani. >> Heyecandan her gece hayalini unutursam ağlama unut beni. Bebeğim hayatta yok senin gibi bulamam dedim bulamadım. Aradım seni çıkıp sokaklara isyanım sana değil tüm aşklarım. Geceden içip içip sabahları çıkamam. dedim. Çıkamadım, bulamadım.","Altın geçers deliler gibi yanıyorum yuvadan uçup gidiyorum yaşım neden büyük ama seni adım adım sayıp seviyorum heyecandan ismini bile kazıdım bir tık yüreğime. Senin aşk diyen o diline bile doyamadım. Telaşlanıyorum. Aradım seni çıkıp sokaklarım. İsyanım sana değil tüm aşklarım. Geceden içip içip sabahlarım çıkamam dedim. Çıkamadım olamadım. Evet. Evet. Biz geldik. Yıldızı söndürür bu güzellik. Öylesi az gelir. 40 yılda bir yaşarsın hayatında bir il. Görmek isteyen gece yattı. Gördü gitti olmayan aklı. Biz kendimiz için yaptık. Baktık düşmanlar daha meraklı. Sokaklar döner podyuma, senle çıkınca yine meydana. Düştü görenler tabii haklılar. Çünkü burada en güzel manzara. Gülüşün silah şakaklarda. Aradım seni sokaklarda. Hayatta yok bak bizim gibi. Bulamazsın kitaplarda. Heyecandan her gece hayalini unutursam ağlama. Unut beni. Bebeğim hayatta yok. Senin gibi bulamam dedim bulamadım. Aradım seni çıkıp sokaklara. İsyanım sana değil tüm aşklarım. Geceden içip biçip sabahları çıkamam dedim. Çıkamadın bulamadım. Bizimdir bütün meydan. Bizi gören herkesin sade heyecan. Doyamaz bakmayan nasıl doyacaksın sen anca öyle uzaktan bakacaksın. Olmadı böyle hiç bırak olmasın ne varsa o da eksik kalmasın. Buna söyle nasıl yürek yanmasın sen hep gül ki çiçekler solmasın. Hayat seçenekler sundu. Ben seçeneklerin hepsini aldım. İstediğim gibi değildir madem ben de istediklerini aldım. Bir baksana böyle kaldım ya da boşver kalmasın hakkım. Biz böyle çok güzel oldu. Düştü gören istiyor yani. Heyecandan her gece hayalini unutursam ağlama unut beni. Bebeğim hayatta yok senin gibi bulamam dedim bulamadım. Aradım seni çıkıp sokaklara isyanım sana değil tüm aşklarım. Geceden içip içip sabahları çıkamam. dedim. Çıkamadım, bulamadım.",,usable_with_noise,yes,Minor ASR errors; main lyrical meaning remains usable.
_NoTqg152B0,"Sefo, Demet Akalın - Yerinde Dur (Official Video)",Sefo,2025-06-26T21:00:07Z,https://www.youtube.com/watch?v=_NoTqg152B0,312642189,751003,42243,Turkish pop music,Official Video by Sefo & Demet Akalın performing Yerinde Dur (C) 2025 3TR6AP2 exclusive licensed to Sony Music Turkey Sö,likely_mix_or_compilation,yes,yes,yes,no,,,,,selected_for_transcript_expansion,yes,tr,no,"yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya vay vay vay vay vay vay Demet ablam hoşgeldin otur be şöyle Gucci takımlar şekilsin öyle kıyakmış ablam, bana da söyle reggeaton rap pop ya da rock yaptım hepsini sizden uzak kuruldu kankam kurdu tuzak daha kaz gelecek, lan ne salaksın benim daha iyi, sevin bari Gökçeada’ya gel verim daireyi “Gül Pansiyon” da evim gari alamadım hala bi' Ferrari sen sen sen sen yedin naneyi nolcak nolcak evin hali dönmüş bir ton film dahi ayarladım 5 filinta iyiiii yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya sormadım şimdi kimle nerde bi’ şey duymadım ve görmedim onu utandıran bu cümlelerde gözleri kısılıyo gözleri özledim ben seni özledim bir minik tuttu sözlerini yazdı tam kalbin üstüne sar beni sar sana göstereyim yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya","yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya vay vay vay vay vay vay Demet ablam hoşgeldin otur be şöyle Gucci takımlar şekilsin öyle kıyakmış ablam, bana da söyle reggeaton rap pop ya da rock yaptım hepsini sizden uzak kuruldu kankam kurdu tuzak daha kaz gelecek, lan ne salaksın benim daha iyi, sevin bari Gökçeada’ya gel verim daireyi “Gül Pansiyon” da evim gari alamadım hala bi' Ferrari sen sen sen sen yedin naneyi nolcak nolcak evin hali dönmüş bir ton film dahi ayarladım 5 filinta iyiiii yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya sormadım şimdi kimle nerde bi’ şey duymadım ve görmedim onu utandıran bu cümlelerde gözleri kısılıyo gözleri özledim ben seni özledim bir minik tuttu sözlerini yazdı tam kalbin üstüne sar beni sar sana göstereyim yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya yerinde dur, o seni bulur ya biri olur, ellerin olur ya caddede tur, nasıl unutur ya? konuş otur, eller avutur ya",,good,yes,Clear Turkish lyrics; suitable for analysis.
rYJjgfCfBOU,Sezen Aksu - Ey Aşk [Official Audio],Sezen Aksu,2025-06-26T21:01:03Z,https://www.youtube.com/watch?v=rYJjgfCfBOU,87698273,162081,7707,Turkish pop music,"Sezen Aksu - ""Paşa Gönül Şarkıları"" albümünü tüm platformlarda dinleyin: https://SezenAksu.lnk.to/PasaGonulSarkilari - S",likely_mix_or_compilation,yes,yes,yes,no,,,,,selected_for_transcript_expansion,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=rYJjgfCfBOU! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,unclear,Transcript unavailable.
YqNqw4o-JBY,Emrah Karaduman feat. Murat Dalkılıç - Kırk Yılda Bir Gibisin,netd müzik,2015-06-18T09:52:57Z,https://www.youtube.com/watch?v=YqNqw4o-JBY,259059861,607371,17898,Turkish pop music,"Emrah Karaduman'ın, DMC etiketiyle yayınlanan ""Toz Duman"" albümünde yer alan ve Murat Dalkılıç'ın seslendirdiği ""Kırk Yı",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion,yes,tr,no,"Bu saatten sonra fark etmez Doğrusu yordamıyla çözeriz biz artık Geçmişindeki hikaye beni üzmez Nasılsa yenisini yazıyoruz artık Gözümün önünde bin bir gece masalları İnandığım aşk var ki devirmez mi dağları Sen yaz yeter ki akılda kalanları Tamamlarız eksiğini gediğini ayrı ayrı Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Bu saatten sonra fark etmez Doğrusu yordamıyla çözeriz biz artık Geçmişindeki hikaye beni üzmez Nasılsa yenisini yazıyoruz artık Gözümün önünde bin bir gece masalları İnandığım aşk var ki devirmez mi dağları Sen yaz yeter ki akılda kalanları Tamamlarız eksiğini gediğini ayrı ayrı Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin","Bu saatten sonra fark etmez Doğrusu yordamıyla çözeriz biz artık Geçmişindeki hikaye beni üzmez Nasılsa yenisini yazıyoruz artık Gözümün önünde bin bir gece masalları İnandığım aşk var ki devirmez mi dağları Sen yaz yeter ki akılda kalanları Tamamlarız eksiğini gediğini ayrı ayrı Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Bu saatten sonra fark etmez Doğrusu yordamıyla çözeriz biz artık Geçmişindeki hikaye beni üzmez Nasılsa yenisini yazıyoruz artık Gözümün önünde bin bir gece masalları İnandığım aşk var ki devirmez mi dağları Sen yaz yeter ki akılda kalanları Tamamlarız eksiğini gediğini ayrı ayrı Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin Ve her şeye tepki diye dünyaya gelmişsin Nasıl zarafet Allah’ım çok güzelsin Biraz kusur be bari olan var olmayan var Ayarı yok harbi, kırk yılda bir gibisin",,good,yes,Clear Turkish lyrics; suitable for analysis.
icZ-OlVSvb4,Gülşen - Bangır Bangır,netd müzik,2015-04-28T17:48:30Z,https://www.youtube.com/watch?v=icZ-OlVSvb4,510019513,1238978,63491,Turkish pop music,"Gülşen'in, DMC etiketiyle yayınlanan ""Bangır Bangır"" albümünde yer alan ""Bangır Bangır"" isimli şarkısı, video klibiyle n",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion,yes,tr,no,"Yanım çok kalabalık sesin gelmiyor bağır Müzik son ses, bangır bangır Ağzı bozuk şarkılar tuttum sana biraz ağır Haydi haydi, saldır saldır Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni, havalandın Yürek yemiş sanki mübarek Neyine güvendin evladım? Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni havalandın Adın bensiz buralarda etkisiz eleman, sıfır aldın Yavrum kaldır kollarını Teslim ol etrafın sarılı Sabret af çıksın sana Ben öptürcem bu evin yollarını Yavrum kaldır kollarını Teslim ol etrafın sarılı Bunlar iyi günler Sana ben göstericem kıvrak oyunlarımı Yanım çok kalabalık sesin gelmiyor bağır Müzik son ses bangır bangır Ağzı bozuk şarkılar tuttum sana biraz ağır Haydi haydi, saldır saldır Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni, havalandın Yürek yemiş sanki mübarek Neyine güvendin evladım? Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni havalandın Adın bensiz buralarda etkisiz eleman, sıfır aldın Yavrum kaldır kollarını Teslim ol etrafın sarılı Sabret af çıksın sana Ben öptürcem bu evin yollarını Yavrum kaldır kollarını Teslim ol etrafın sarılı Bunlar iyi günler Sana ben göstericem kıvrak oyunlarımı Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni, havalandın Adın bensiz buralarda etkisiz eleman, sıfır aldın Yavrum kaldır kollarını Teslim ol etrafın sarılı Sabret af çıksın sana Ben öptürcem bu evin yollarını Yavrum kaldır kollarını Teslim ol etrafın sarılı Bunlar iyi günler Sana ben göstericem kıvrak oyunlarımı","Yanım çok kalabalık sesin gelmiyor bağır Müzik son ses, bangır bangır Ağzı bozuk şarkılar tuttum sana biraz ağır Haydi haydi, saldır saldır Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni, havalandın Yürek yemiş sanki mübarek Neyine güvendin evladım? Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni havalandın Adın bensiz buralarda etkisiz eleman, sıfır aldın Yavrum kaldır kollarını Teslim ol etrafın sarılı Sabret af çıksın sana Ben öptürcem bu evin yollarını Yavrum kaldır kollarını Teslim ol etrafın sarılı Bunlar iyi günler Sana ben göstericem kıvrak oyunlarımı Yanım çok kalabalık sesin gelmiyor bağır Müzik son ses bangır bangır Ağzı bozuk şarkılar tuttum sana biraz ağır Haydi haydi, saldır saldır Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni, havalandın Yürek yemiş sanki mübarek Neyine güvendin evladım? Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni havalandın Adın bensiz buralarda etkisiz eleman, sıfır aldın Yavrum kaldır kollarını Teslim ol etrafın sarılı Sabret af çıksın sana Ben öptürcem bu evin yollarını Yavrum kaldır kollarını Teslim ol etrafın sarılı Bunlar iyi günler Sana ben göstericem kıvrak oyunlarımı Gül gibi uyuyan yılanı uyandırdın Garanti bildin beni, havalandın Adın bensiz buralarda etkisiz eleman, sıfır aldın Yavrum kaldır kollarını Teslim ol etrafın sarılı Sabret af çıksın sana Ben öptürcem bu evin yollarını Yavrum kaldır kollarını Teslim ol etrafın sarılı Bunlar iyi günler Sana ben göstericem kıvrak oyunlarımı",,good,yes,Clear Turkish lyrics; suitable for analysis.
IQWkS1GyFRM,Cengiz Özkan - Bir Ay Doğar İlk Akşamdan Geceden I Ah İstanbul © 2000 Kalan Müzik,Kalan Müzik,2013-10-28T16:35:20Z,https://www.youtube.com/watch?v=IQWkS1GyFRM,112147974,289842,5707,Turkish folk song,▶Şarkıyı Playlist'e Kaydetmek İçin: https://orcd.co/cengizozkanahistanbul Cengiz Özkan'ın tüm şarkıları burada: https://,likely_mix_or_compilation,yes,yes,yes,no,,,,,selected_for_transcript_expansion,yes,tr,yes,[Müzik] Bir ay doğar ilk akşamdan geceden neyden neyden gecen şavkı vurur Pencereden bacadan Dağlar kışımış yolcum üşümüş Nasıl Edem Ben Uykusuz mu kaldın dünki gecede Neyden Neyden gecede Uyan uyan yar sinene Sar Beni Dağlar kışımış yolcum üşümüş Nasıl Edem Ben Uyan uyan yar sinene Sar Beni Dağlar Haramı Açma Yaramı perişanımı [Müzik] Yüce Dağ başından aşırdın ben neydem neydem yar beni tükenmez dertlere düşürdün beni dağlar kışımış yolcum üşümüş Nasıl Edem Ben Madem soysuz göğünün bende yokdu neydem neydem yokdu niye doğru yoldan şaşırdın beni dağlar kışımış Yolcum üşümüş perişanım ben niye doğru yoldan şaşırdın beni dağlar Haramı Açma Yaramı Nasıl Edem ben [Müzik] [Alkış] [Müzik] Aşağıdan gelir eli boş deyin neydem neydem boş deil Söylerim Söylerim gölüm hoş değil dağlar kışımış yolcum üşümüş nasıl Dedem Bir güzeli bir çirkine vermişler neydem neydem vermişler Baş yastığı kendisine eş değil dağlar kışımış yolcu üşümüş nasıl eden Baş yastığı kendisine eş değil dağlar Haramı Açma Yaramı Per şalım ben,Bir ay doğar ilk akşamdan geceden neyden neyden gecen şavkı vurur Pencereden bacadan Dağlar kışımış yolcum üşümüş Nasıl Edem Ben Uykusuz mu kaldın dünki gecede Neyden Neyden gecede Uyan uyan yar sinene Sar Beni Dağlar kışımış yolcum üşümüş Nasıl Edem Ben Uyan uyan yar sinene Sar Beni Dağlar Haramı Açma Yaramı perişanımı Yüce Dağ başından aşırdın ben neydem neydem yar beni tükenmez dertlere düşürdün beni dağlar kışımış yolcum üşümüş Nasıl Edem Ben Madem soysuz göğünün bende yokdu neydem neydem yokdu niye doğru yoldan şaşırdın beni dağlar kışımış Yolcum üşümüş perişanım ben niye doğru yoldan şaşırdın beni dağlar Haramı Açma Yaramı Nasıl Edem ben Aşağıdan gelir eli boş deyin neydem neydem boş deil Söylerim Söylerim gölüm hoş değil dağlar kışımış yolcum üşümüş nasıl Dedem Bir güzeli bir çirkine vermişler neydem neydem vermişler Baş yastığı kendisine eş değil dağlar kışımış yolcu üşümüş nasıl eden Baş yastığı kendisine eş değil dağlar Haramı Açma Yaramı Per şalım ben,,usable_with_noise,yes,Moderate ASR errors; main themes remain identifiable.
9oZIOfx87Ww,Bulut Gelir (Türkiye) | Ethno Catalonia 2023,Ethno Catalonia,2024-04-26T15:16:59Z,https://www.youtube.com/watch?v=9oZIOfx87Ww,2675152,27985,1346,Turkish folk song,Title: Bulut Gelir Performed by: EthnoCatalonia Orchestra Composer: Traditional (Türkiye) Main singer: Ceren Kaçar Main ,likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion,yes,tr,yes,[Müzik] t [Müzik] h [Alkış] [Müzik] [Alkış] [Müzik] Bulut Gelir Seher ile çiçek açar Bahar le herkes sırmış yarine yama yur esmeyen yarın yolda herkesı başarı Yağma [Müzik] Yağmur yarım yolda [Müzik] [Müzik] [Müzik] [Alkış] [Müzik] [Alkış] [Müzik] [Müzik] Bulut Gelir pare pare dördü Akır dördü kare sen açtın sinme Yare y Yağmur y yok sen açtın sinemme y yur esedel RAR Yarim [Alkış] yoldadır y,t h Bulut Gelir Seher ile çiçek açar Bahar le herkes sırmış yarine yama yur esmeyen yarın yolda herkesı başarı Yağma Yağmur yarım yolda Bulut Gelir pare pare dördü Akır dördü kare sen açtın sinme Yare y Yağmur y yok sen açtın sinemme y yur esedel RAR Yarim yoldadır y,,unusable,yes,Severe ASR noise; excluded from lyric analysis.
mbY17Lr_wu4,Folk music from Turkey - Üsküdara,Arany Zoltán,2009-06-04T09:49:02Z,https://www.youtube.com/watch?v=mbY17Lr_wu4,1026575,11453,747,Turkish folk song,#turkish #folkmusic #aranyzoltan https://www.facebook.com/Arany-Zolt%C3%A1n-Music-274856225999515/ http://aranyzoltan.hu,likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=mbY17Lr_wu4! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,unclear,Transcript unavailable.
ih9nX3KZVfU,"""Ceddin Deden"" - Traditional Turkish March [Lyrics]",blinmaster1945,2023-02-16T18:26:33Z,https://www.youtube.com/watch?v=ih9nX3KZVfU,578586,8112,611,Turkish folk song,"'Ceddin Deden' is a popular and well-known Turkish and Ottoman march. We stand with Türkiye and Syria, all our prayers a",likely_song,yes,yes,yes,no,,,,,selected_for_transcript_expansion,no,,,,,"TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ih9nX3KZVfU! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",unavailable,unclear,Transcript unavailable.
