video_id,artist_name,song_title,candidate_title,youtube_url,ai_suno_related,channel_type,genre_style,transcript_quality,lyric_language_verified,transcript_language,predicted_theme,similarity_score,second_best_theme,second_best_score,score_margin,romance_heartbreak_score,hometown_nostalgia_score,local_food_culture_score,party_dance_score,healing_relaxing_score,other_emerging_theme_score,view_count,like_count,comment_count,like_rate,comment_rate,transcript_clean,embedding_model
NudUovOABjQ,Mustafa Ceceli,Gül Rengi,Mustafa Ceceli - Gül Rengi,https://www.youtube.com/watch?v=NudUovOABjQ,no,official label,,good,yes,tr,Romance / heartbreak,0.4717,Healing / relaxing,0.4643,0.0074,0.4717,0.4069,0.3244,0.4215,0.4643,0.3661,224551994,723564,30124,0.00322226,0.00013415,Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Aşkıdır ruhumda yankılanan Duyduğum her seste O can ki sevdası sonsuzumdur Aldığım her nefeste Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Havasından suyundan aşk damlayan Yarim var gül renginde Dünyaları verseler kar etmez Olmaz ki sen denginde Aşkıdır ruhumda yankılanan Duyduğum her seste O can ki sevdası sonsuzumdur Aldığım her nefeste Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin Son aşkım ilk yarim can bildiğim Vefalı sevdiğimsin Derdimi derdinle böldüğümde Ömrümü verdiğimsin,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
tuAYyDO5fEs,Mustafa Ceceli,Sultanım,Mustafa Ceceli - Sultanım,https://www.youtube.com/watch?v=tuAYyDO5fEs,no,official label,,good,yes,tr,Romance / heartbreak,0.3678,Healing / relaxing,0.3671,0.0007,0.3678,0.3161,0.2976,0.3192,0.3671,0.2800,162325074,521173,27491,0.00321067,0.00016936,"Can yakan gözlerini, bak görmeye geldim Abu hayat sözlerinle gül olup yeşermeye geldim Abu hayat sözlerinle gül olup yeşermeye geldim Ben aciz ben yarım, sana tamam olmaya geldim Şeyda bülbüller gibi, gül dalına konmaya geldim Şeyda bülbüller gibi, gül dalına konmaya geldim Yanar içim, senden öteye yer yok Yanar sözlerim, bakamam gözlerine Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Dağ taş toprak iken, umman olmaya geldim Aşksız biçareyken, kendimi bulmaya geldim Aşksız biçareyken, kendimi bulmaya geldim Yalana meyil ederken gerçeği görmeye geldim Yaşayan bir ölüyken gönlünde doğmaya geldim Yaşayan bir ölüyken gönlünde doğmaya geldim Yanar içim senden öteye yer yok Yanar sözlerim bakamam gözlerine Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Canımdan başka servetim yokken Canımdan geçmeye geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim Kabul et ne olur ey sultanım, aşkınla yanmaya geldim",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
NBy3GXENQYU,Müslüm Gürses,Vay Canım Vay,Müslüm Gürses - Vay Canım Vay,https://www.youtube.com/watch?v=NBy3GXENQYU,no,fan / archive,,usable_with_noise,yes,tr,Healing / relaxing,0.3746,Romance / heartbreak,0.3685,0.0061,0.3685,0.3187,0.2846,0.3307,0.3746,0.2792,3394430,18628,947,0.00548781,0.00027899,nasıl bir sevdaya düştü Vay canım V Vay canım var vay canım vay vay bir zalim eline düştüm vay canım vay vay canım Vay Vay Ömrüm Vay vay bir zalim eline düştüm vay canım vay vay canım vay Vay Ömrüm Vay vay beni yüz yerden vursalar Vay canım vay vay canım vay vay canım vay vay üzülmem dillere düştü vay canım vay vay canım vay Vay Ömrüm Vay vay üzülmem dillere düş vay canım vay vay canım vay Vay Ömrüm Vay Vay ateş düştü içerime Vay canım var Vay canım V vay canım vay vay neler ettiler gönlüme vay canım vay vay canım vay Vay Ömrüm Vay vay Neler ettiler gönlüme vay canım vay vay canım vay Vay Ömrüm vay vay Ben Seni Böyle mi Sevdim Vay canım var Vay canım var vay canım vay vay götürdün beni ölüme vay canım vay vay canım Vay Vay Ömrüm Vay vay götürdün beni ölüme vay canım vay vay canım vay Kayım vay vay oh,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
VNZuTrvXfPE,İbrahim Tatlıses,Aramam,İbrahim Tatlıses - Aramam,https://www.youtube.com/watch?v=VNZuTrvXfPE,no,official label,,good,yes,tr,Romance / heartbreak,0.4180,Healing / relaxing,0.4163,0.0018,0.4180,0.3755,0.2267,0.3259,0.4163,0.2995,139005517,704517,23946,0.00506827,0.00017227,"Çağırsaydın gelmez miydim yar Senin için ölmez miydim yar Dünyayı ters etmez miydim yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabaha, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam Seviyorsun, ben de seni yar Çok özledim, ben de seni yar Aramadım, ben de seni yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabah'a, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam Gözyaşlarım sele döndü yar Ayrılanlar geri döndü yar Leylek baba bile döndü yar Aramam Aramam Aramam Aramam sormam bir daha Yalvarsan bile Allah'a Çıkmasa gecem sabaha, aramam Peşinden geldim kaç kere? Dünyamı yıktın bin kere Kırıldım sana bir kere, aramam",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
IDivHyd3Ks4,Selda Bağcan,İnce İnce Bir Kar Yağar,Selda Bağcan - İnce İnce Bir Kar Yağar (Resmi Şarkı Sözleri Videosu),https://www.youtube.com/watch?v=IDivHyd3Ks4,no,official artist,,usable_with_noise,yes,tr,Healing / relaxing,0.3430,Romance / heartbreak,0.3293,0.0138,0.3293,0.2752,0.2660,0.2749,0.3430,0.2510,248355,1613,37,0.00649474,0.00014898,"İnce ince bir karar fakirlerin üstüne neden felek inanmıyor fıkaranın sözünü? Öldük öldük biz açlıktan net ve aman kimi bu kimi bize tahsin haramdır. Dayanamam artık senin bu yalancı pozuna. Yandık, yandık bize okul, bize yol, bize hayat etme. Ne olur ne olur ne olur ne olur ne olur ne olur. Adam ölür yol yapılınca, okul olunca, hayat bulunca ne olur? Ne olur ne olur ne olur? Alır. İstanbul'un benzemiyor neden Urfalara? Yoksun Maraş susuz Urfa yarı Diyarbakırları. Yandık yandık öldük öldük bir yadım su etmem. Ne olur? Öldük öldük bir mektup yaz yapmam. Ne olur ne olur ne olur ne olur ne olur ne olur adam ölür toprak verince insan sevince kendin gülünce ne olur ne olur ne olur ne olur ne olur Oh Sen alandan ben babamdan a doğadık dostum. Gel beraber yaşayalım. Sanmak sana küstüm. Yandım yandım. Hayır gezme etme kardeş. Ne olur ne olur ne olur ne olur ne olur ne olur adam bu ölür toprak verince borç ödeyince kendin bilince ne olur ne olur ne olur kardeş ne olur",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
aXLj7rM6UQQ,Neşet Ertaş,Gönül Dağı,Neşet Ertaş - Gönül Dağı I Bozkırın Tezenesi © 2020 Kalan Müzik,https://www.youtube.com/watch?v=aXLj7rM6UQQ,no,official label,,usable_with_noise,yes,tr,Healing / relaxing,0.2994,Romance / heartbreak,0.2694,0.0300,0.2694,0.2512,0.2598,0.2572,0.2994,0.2436,34848109,138619,6004,0.00397781,0.00017229,ha ha hu hu hu hu hu hu hu hu hu Gönül Dağı Yağmur Yağmur Boran olunca akar Can özümde isev gizli giy bu gizli Bir Tenhada Can Can anı bulunca Sinan'a mı yaralar yar oy yar oy yar A yar A yar A yar oy dilgizli kizlik bil gizli gizli ya Sinan'a mı yaralar yar oy yar oy yar A yar ay yaroy yaroy dil gizli gizli dil gizli gizli ya o Hı hı vız oldum Dost Elinden gel olmazsa varım az rızasız Bahçanın gülü derim Ez Kalpten Kalbe Bir Yol Vardır görünmez gönülden gönüle gider Yar oluyor yar oy yar oy yar ay Yol Gizli Gizli lik Yol Gizli Gizli yani canımı den gölle yaroy yaroy bu Saray yar ay yaroy yaroy Yol Gizli Gizli Yol Gizli kisili seher vakti Garip Garip Bülbül öterken ki de beklerim uhu yar yar cana batarken cümle Alev uyku hususunda yatarken kimseler görmeden yar oy yar oy yar oy yar oy yar oy yar oy Gel Gizli Gizli Lig Gel Gizli Gizli hayratlar görmeden yaroy yaroy yaroy yaroy yaroy yaroy gel gizli gizli Gel gizli kizin mi abone ol,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
Eg6gKLXA30U,Sezen Aksu,Tükeneceğiz,Sezen Aksu - Tükeneceğiz (Official Audio),https://www.youtube.com/watch?v=Eg6gKLXA30U,no,official artist,,usable_with_noise,yes,tr,Healing / relaxing,0.4795,Romance / heartbreak,0.4784,0.0011,0.4784,0.3734,0.2468,0.3971,0.4795,0.3766,136789383,398577,21555,0.00291380,0.00015758,ne böyle senle ne de sensiz yazık yaşanmıyor çaresiz ne bir arada ne de ayrı ayrı olmak imkansız hiç sebepsiz ne hayallerle ümitlerle mutlu olmaktı dileğimiz Suçlu ne sensin ne de benim şimdi sensizim Sen de bensiz bir an gelip de küllenince Yüreklerimiz din Gelince başka Sevgilerde teserri bulunca İşte Biz O Gün düşüneceğiz bir an gelip de küllenince Yüreklerimiz Dinlenince başka Sevgilerde teselli bulunca İşte Biz O Gün düşüneceğiz etrafımızı sarı verecek bir boşluk yıa bitmeyecek Her şey bir anda anlamsız gelecek İşte Biz O Gün tükene İşte Biz O Gün Tükeneceğiz bir an gelip de küllenince Yüreklerimiz Dinlenince başka Sevgilerde teselli bulunca İşte Biz O Gün düşüneceğiz etrafımızı sarı verecek bir boşluk ya asla bitmeyecek Her şey bir anda anlamsız gelecek İşte Biz O Gün Tükeneceğiz İşte Biz O Gün Tükeneceğiz İşte biz O Gün Tükeneceğiz,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
zd8IFDgQCUc,Barış Manço,Gülpembe,Barış Manço - Gülpembe,https://www.youtube.com/watch?v=zd8IFDgQCUc,no,official label,,usable_with_noise,yes,tr,Hometown / nostalgia,0.3876,Healing / relaxing,0.3844,0.0032,0.3773,0.3876,0.2662,0.3503,0.3844,0.3219,99321205,457643,27006,0.00460771,0.00027191,"H gülünce güller açar. Gül pembe bülbüller seni söyler. Biz dinlerdik gül pembe. Sen gelince bahar gelir gül pembe dereler seni çağlar. Sevinik gül pembe. Güz yağmurlarıyla bir gün göçtün gittin. İnanamadık gül pembeye bizim iller sessiz bizim iller sensiz. Olamadı gül pembe. Dudağımda son bir türkü gül pembe hala hep seni söyler. Seni çağırır gülmden. Oh. Güz yağmurlarıyla bir gün göçtün gittin. İnanamadık gül pembe. Bizim iller sessiz, bizim iller sensiz. Olamadı gül pembe. Dudağımda son bir türkü gül pembe hala hep seni söyler. Seni çağırır gülembe. Gözlerimde son bir bulut gül pembe hala hep seni arar. Seni bekler Gülpe. Dudağımdan son bir türkü Gülpemde hala hepsini söyler. Seni çağır gülembe. Gözlerimde son bir bulut gül pembe hep seni arar. Seni bekler gülbemde. Dudağında son bir türkü güleme. Hara hepsini söyler.",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
Tb-zjsEqr1k,,Tuğba Yurt - İnceden İnceden,Tuğba Yurt - İnceden İnceden,https://www.youtube.com/watch?v=Tb-zjsEqr1k,no,,,good,yes,tr,Healing / relaxing,0.3963,Romance / heartbreak,0.3777,0.0186,0.3777,0.3279,0.2302,0.2748,0.3963,0.2791,207359484,403242,13263,0.00194465,0.00006396,Geri dönmek için geç kaldın Sıra sende üzüleceksin Varlığınla ne kazandırdın Yokluğunla ne kaybettireceksin Bir gün iki gün sonra çözülür Bağladığım karalar Önüme bakarım Taş olsan yoluma kalbim seni paralar Gel deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Geri dönmek için geç kaldın Sıra sende üzüleceksin Varlığınla ne kazandırdın Yokluğunla ne kaybettireceksin Bir gün iki gün sonra çözülür Bağladığım karalar Önüme bakarım Taş olsan yoluma kalbim seni paralar Gel deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden Deneyelim diyorsun Olur mu yeniden? Ruhumu okşuyor İnceden inceden Kanmam be oğlum Neler gördüm neler Nasibimi aldım Tüm yeminlerden,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
GR6r-jIryH0,,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video),Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video),https://www.youtube.com/watch?v=GR6r-jIryH0,no,,,usable_with_noise,yes,tr,Romance / heartbreak,0.4276,Party / dance,0.3974,0.0301,0.4276,0.3865,0.2762,0.3974,0.3930,0.3448,60035427,120570,3138,0.00200831,0.00005227,"Altın geçers deliler gibi yanıyorum yuvadan uçup gidiyorum yaşım neden büyük ama seni adım adım sayıp seviyorum heyecandan ismini bile kazıdım bir tık yüreğime. Senin aşk diyen o diline bile doyamadım. Telaşlanıyorum. Aradım seni çıkıp sokaklarım. İsyanım sana değil tüm aşklarım. Geceden içip içip sabahlarım çıkamam dedim. Çıkamadım olamadım. Evet. Evet. Biz geldik. Yıldızı söndürür bu güzellik. Öylesi az gelir. 40 yılda bir yaşarsın hayatında bir il. Görmek isteyen gece yattı. Gördü gitti olmayan aklı. Biz kendimiz için yaptık. Baktık düşmanlar daha meraklı. Sokaklar döner podyuma, senle çıkınca yine meydana. Düştü görenler tabii haklılar. Çünkü burada en güzel manzara. Gülüşün silah şakaklarda. Aradım seni sokaklarda. Hayatta yok bak bizim gibi. Bulamazsın kitaplarda. Heyecandan her gece hayalini unutursam ağlama. Unut beni. Bebeğim hayatta yok. Senin gibi bulamam dedim bulamadım. Aradım seni çıkıp sokaklara. İsyanım sana değil tüm aşklarım. Geceden içip biçip sabahları çıkamam dedim. Çıkamadın bulamadım. Bizimdir bütün meydan. Bizi gören herkesin sade heyecan. Doyamaz bakmayan nasıl doyacaksın sen anca öyle uzaktan bakacaksın. Olmadı böyle hiç bırak olmasın ne varsa o da eksik kalmasın. Buna söyle nasıl yürek yanmasın sen hep gül ki çiçekler solmasın. Hayat seçenekler sundu. Ben seçeneklerin hepsini aldım. İstediğim gibi değildir madem ben de istediklerini aldım. Bir baksana böyle kaldım ya da boşver kalmasın hakkım. Biz böyle çok güzel oldu. Düştü gören istiyor yani. Heyecandan her gece hayalini unutursam ağlama unut beni. Bebeğim hayatta yok senin gibi bulamam dedim bulamadım. Aradım seni çıkıp sokaklara isyanım sana değil tüm aşklarım. Geceden içip içip sabahları çıkamam. dedim. Çıkamadım, bulamadım.",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
