artist_name,seed_song_title,search_query,query_variant,candidate_rank,video_id,candidate_title,channel_title,published_at,youtube_url,description_preview,view_count,like_count,comment_count,duration,category_id,default_language,default_audio_language,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes,pipeline_status
Tarkan,Şımarık,Tarkan Şımarık,base,1,cpp69ghR1IM,TARKAN - Şımarık (Official Music Video),Tarkan,2012-05-01T16:28:30Z,https://www.youtube.com/watch?v=cpp69ghR1IM,1997 - TARKAN - Ölürüm Sana - Şımarık Takmış koluna elin adamını Beni orta yerimden çatlatıyor Ağzında sakızı şişirip şişirip ...,101009574,738324,3,PT3M12S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Tarkan,Şımarık,Tarkan Şımarık,base,2,9UAwX1slv8g,TARKAN - Şımarık,İSTANBUL PLAK,2013-05-22T12:53:10Z,https://www.youtube.com/watch?v=9UAwX1slv8g,[TARKAN - Ölürüm Sana © 1997 İstanbul Plak] iTunes: http://geni.us/3ma http://www.tarkan.com https://www.facebook.com/tarkan ...,9482492,41186,2288,PT4M,10,tr,,yes,yes,yes,no,official label,,,Valid alternative version; not selected as primary,excluded_duplicate
Tarkan,Şımarık,Tarkan Şımarık,base,3,SSMoILdzGDg,TARKAN - ŞIMARIK (MUAH) - lyrics/sözleri,seven7lyrics,2023-09-07T13:00:31Z,https://www.youtube.com/watch?v=SSMoILdzGDg,tarkan #şımarık #muah #kisskiss Lyrics/sözler Takmış koluna elin adamını Beni orta yerimden çatlatıyor Ağzında sakızı şişirip ...,8324968,,1707,PT3M11S,10,tr,tr,yes,yes,yes,no,lyrics channel,,,Valid alternative version; not selected as primary,excluded_duplicate
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,1,NAHRpEqgcL4,TARKAN - Kuzu Kuzu (Official Music Video),Tarkan,2012-05-01T16:28:27Z,https://www.youtube.com/watch?v=NAHRpEqgcL4,2001 - TARKAN - Karma - Kuzu Kuzu (Original) Bak kırıldı kolum kanadım Olmadı tutunamadım Zor yokluğun çok zor Alışamadım ...,164643736,551614,30758,PT4M2S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,2,_xgryOIbJj4,Kuzu Kuzu,Tarkan - Topic,2018-05-04T05:58:00Z,https://www.youtube.com/watch?v=_xgryOIbJj4,Provided to YouTube by Daphne Media Music Kuzu Kuzu · Tarkan Karma ℗ İstanbul Plak Released on: 2001-07-23 ...,7120889,29901,328,PT3M54S,10,en,,yes,yes,yes,no,topic,,,Valid alternative version; not selected as primary,excluded_duplicate
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,3,1TtalpYn0A4,TARKAN - Kuzu Kuzu (Acoustic ) (Official Music Video),Tarkan,2012-05-01T16:28:28Z,https://www.youtube.com/watch?v=1TtalpYn0A4,2001 - TARKAN - Karma - Kuzu Kuzu (Acoustic) Bak kırıldı kolum kanadım Olmadı tutunamadım Zor yokluğun çok zor Alışamadım ...,2611060,19370,1479,PT3M43S,10,tr,tr,yes,yes,yes,no,official artist,,,Valid alternative version; not selected as primary,excluded_duplicate
Tarkan,Dudu,Tarkan Dudu,base,1,SCZgGVqVsbY,TARKAN - Dudu (Official Music Video),Tarkan,2012-05-01T16:28:29Z,https://www.youtube.com/watch?v=SCZgGVqVsbY,2003 - TARKAN - Dudu Ağlamadan ayrılık olmaz Hatıralar uslu durmaz Kalanlar gideni gönlünde taşır Aşk sevene yük olmaz Biz ...,381414607,1191878,49825,PT4M24S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Tarkan,Dudu,Tarkan Dudu,base,2,mtJGJP50zNw,Tarkan - Dudu,Cerice Janan,2006-10-11T04:40:29Z,https://www.youtube.com/watch?v=mtJGJP50zNw,Lyrics: Dudu / Woman There's no parting without tears Memories can't be controlled Those left keep those gone in their hears ...,54666991,123010,9157,PT4M23S,24,en,,yes,yes,yes,no,fan / archive,,,Valid alternative version; not selected as primary,excluded_duplicate
Tarkan,Dudu,Tarkan Dudu,base,3,FtCHL-d5WGA,Tarkan - Dudu,MüzikTürk,2019-08-22T14:47:58Z,https://www.youtube.com/watch?v=FtCHL-d5WGA,Tarkan - Dudu (Dudu) şarkısıyla MüzikTürk te.,794618,4152,133,PT4M38S,10,en,en,yes,yes,yes,no,fan / archive,,,Valid alternative version; not selected as primary,excluded_duplicate
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,1,NudUovOABjQ,Mustafa Ceceli - Gül Rengi,netd müzik,2015-04-07T09:08:26Z,https://www.youtube.com/watch?v=NudUovOABjQ,"Mustafa Ceceli'nin, DMC etiketiyle yayınlanan ""Kalpten"" albümünde yer alan ""Gül Rengi"" isimli şarkısı, video klibiyle netd müzik'te ...",224551994,723564,30124,PT3M47S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
