artist_name,seed_song_title,search_query,query_variant,candidate_rank,video_id,candidate_title,channel_title,published_at,youtube_url,description_preview,view_count,like_count,comment_count,duration,category_id,default_language,default_audio_language,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes,pipeline_status
Tarkan,Şımarık,Tarkan Şımarık,base,1,cpp69ghR1IM,TARKAN - Şımarık (Official Music Video),Tarkan,2012-05-01T16:28:30Z,https://www.youtube.com/watch?v=cpp69ghR1IM,1997 - TARKAN - Ölürüm Sana - Şımarık Takmış koluna elin adamını Beni orta yerimden çatlatıyor Ağzında sakızı şişirip şişirip ...,101009574,738324,3,PT3M12S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Tarkan,Kuzu Kuzu,Tarkan Kuzu Kuzu,base,1,NAHRpEqgcL4,TARKAN - Kuzu Kuzu (Official Music Video),Tarkan,2012-05-01T16:28:27Z,https://www.youtube.com/watch?v=NAHRpEqgcL4,2001 - TARKAN - Karma - Kuzu Kuzu (Original) Bak kırıldı kolum kanadım Olmadı tutunamadım Zor yokluğun çok zor Alışamadım ...,164643736,551614,30758,PT4M2S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Tarkan,Dudu,Tarkan Dudu,base,1,SCZgGVqVsbY,TARKAN - Dudu (Official Music Video),Tarkan,2012-05-01T16:28:29Z,https://www.youtube.com/watch?v=SCZgGVqVsbY,2003 - TARKAN - Dudu Ağlamadan ayrılık olmaz Hatıralar uslu durmaz Kalanlar gideni gönlünde taşır Aşk sevene yük olmaz Biz ...,381414607,1191878,49825,PT4M24S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Mustafa Ceceli,Gül Rengi,Mustafa Ceceli Gül Rengi,base,1,NudUovOABjQ,Mustafa Ceceli - Gül Rengi,netd müzik,2015-04-07T09:08:26Z,https://www.youtube.com/watch?v=NudUovOABjQ,"Mustafa Ceceli'nin, DMC etiketiyle yayınlanan ""Kalpten"" albümünde yer alan ""Gül Rengi"" isimli şarkısı, video klibiyle netd müzik'te ...",224551994,723564,30124,PT3M47S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
Mustafa Ceceli,Sultanım,Mustafa Ceceli Sultanım,base,1,tuAYyDO5fEs,Mustafa Ceceli - Sultanım,netd müzik,2015-12-01T10:00:02Z,https://www.youtube.com/watch?v=tuAYyDO5fEs,"Mustafa Ceceli'nin, Ceceli Müzik Prodüksiyon etiketiyle yayınlanan ""Aşk İçin Gelmişiz"" albümünde yer alan ""Sultanım"" isimli ...",162325074,521173,27491,PT4M47S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
Müslüm Gürses,Vay Canım Vay,Müslüm Gürses Vay Canım Vay,base,1,NBy3GXENQYU,Müslüm Gürses - Vay Canım Vay,Tanju Güney,2013-03-06T15:43:32Z,https://www.youtube.com/watch?v=NBy3GXENQYU,sen şarkılarınlan yaşayacaksın müslüm baba...,3394430,18628,947,PT4M56S,10,tr,,yes,yes,yes,no,fan / archive,,,Selected as primary version,selected_for_transcript
Müslüm Gürses,Nilüfer,Müslüm Gürses Nilüfer,base,3,nEMHRfPBaxE,Nilüfer,Release - Topic,2025-01-10T01:00:06Z,https://www.youtube.com/watch?v=nEMHRfPBaxE,Provided to YouTube by PASAJ Nilüfer · Müslüm Gürses Aşk Tesadüfleri Sever (Mucize ve Buluşma) ℗ PASAJ Released on: ...,37795299,92897,0,PT4M19S,10,tr,,yes,yes,yes,no,topic,,,Selected as primary version,selected_for_transcript
İbrahim Tatlıses,Aramam,İbrahim Tatlıses Aramam,base,1,VNZuTrvXfPE,İbrahim Tatlıses - Aramam,netd müzik,2014-03-04T08:55:07Z,https://www.youtube.com/watch?v=VNZuTrvXfPE,"İbrahim Tatlıses'in, DMC etiketiyle yayınlanan ""Aramam"" albümünde yer alan ""Aramam"" isimli şarkısı, netd müzik'te! Söz & Müzik: ...",139005517,704517,23946,PT4M56S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
İbrahim Tatlıses,Mavi Mavi,İbrahim Tatlıses Mavi Mavi,base,1,rQWmwR5f5lA,Mavi Mavi,İbrahim Tatlıses - Topic,2025-03-28T16:20:47Z,https://www.youtube.com/watch?v=rQWmwR5f5lA,Provided to YouTube by Virgin Music Group Mavi Mavi · İbrahim Tatlıses Mavi Mavi ℗ 2017 Seyhan Müzik Released on: ...,2975248,10429,182,PT3M33S,10,tr,,yes,yes,yes,no,topic,,,Selected as primary version,selected_for_transcript
Selda Bağcan,Gesi Bağları,Selda Bağcan Gesi Bağları,base,3,26jAqWhrrwQ,Selda Bağcan - Gesi Bağları (Türkülerimiz - 1),Selda Bağcan,2014-12-22T13:26:01Z,https://www.youtube.com/watch?v=26jAqWhrrwQ,"Selda Bağcan, Gesi Bağları şarkısı sizlerle. Büyük ustanın tüm şarkılarını siz değerli dinleyicilerle resmi kanalında buluşturuyoruz.",11813240,48794,1524,PT3M34S,22,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Selda Bağcan,İnce İnce Bir Kar Yağar,Selda Bağcan İnce İnce Bir Kar Yağar,base,1,IDivHyd3Ks4,Selda Bağcan - İnce İnce Bir Kar Yağar (Resmi Şarkı Sözleri Videosu),Selda Bağcan,2025-04-18T13:22:23Z,https://www.youtube.com/watch?v=IDivHyd3Ks4,"1976 yılında kaydettiğimiz, 'Türkülerimiz -1' isimli albümümde de yer alan 'İnce İnce' yeni videosuyla yayında. Keyifli seyirler.",248355,1613,37,PT3M46S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Neşet Ertaş,Gönül Dağı,Neşet Ertaş Gönül Dağı,base,1,aXLj7rM6UQQ,Neşet Ertaş - Gönül Dağı I Bozkırın Tezenesi © 2020 Kalan Müzik,Kalan Müzik,2020-11-20T09:15:00Z,https://www.youtube.com/watch?v=aXLj7rM6UQQ,Şarkıyı Playlist'e Kaydetmek İçin: https://orcd.co/bozkirintezenesi Neşet Ertaş'ın tüm şarkıları burada: https://bit.ly/3xXSS0Z Kalan ...,34848109,138619,6004,PT5M4S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
Neşet Ertaş,Zahidem,Neşet Ertaş Zahidem,base,3,iGgdc8nS4Ss,Neşet Ertaş - Zahide,Bayar Müzik,2016-09-09T08:50:59Z,https://www.youtube.com/watch?v=iGgdc8nS4Ss,İndirmek İçin; http://bit.ly/NesetErtas98 Dinlemek İçin; http://bit.ly/NesetErtas98SP Zahide Söz & Müzik: Neşet Ertaş Zahide ...,674548,4069,237,PT7M10S,10,tr,tr,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
Sezen Aksu,Gülümse,Sezen Aksu Gülümse,base,1,qgfLk8Uksxo,Sezen Aksu - Gülümse (Official Video),Sezen Aksu,2012-05-29T03:47:25Z,https://www.youtube.com/watch?v=qgfLk8Uksxo,"""Gülümse"" (Gülümse - 1991) Yönetmen: Samim Değer Söz: Kemal Burkay Beste: Arto Tunçboyacı Gülümse, hadi gülümse ...",6601187,39159,1821,PT5M,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Sezen Aksu,Tükeneceğiz,Sezen Aksu Tükeneceğiz,base,1,Eg6gKLXA30U,Sezen Aksu - Tükeneceğiz (Official Audio),Sezen Aksu,2016-12-25T21:23:03Z,https://www.youtube.com/watch?v=Eg6gKLXA30U,"Sezen Aksu - Tükeneceğiz Söz: Sezen Aksu Beste: Sezen Aksu Düzenleme: Onno Tunç Ne böyle senle ne de sensiz Yazık, ...",136789383,398577,21555,PT4M20S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Ezhel,İmkansızım,Ezhel İmkansızım,base,1,Hrf7F3QAfvE,İmkansızım,Ezhel - Topic,2018-05-10T16:51:01Z,https://www.youtube.com/watch?v=Hrf7F3QAfvE,Provided to YouTube by The Orchard Enterprises İmkansızım · Ezhel · Sercan İpekçioğlu İmkansızım ℗ 2017 KOAL Released on: ...,99223976,335962,5486,PT3M43S,10,en,,yes,yes,yes,no,topic,,,Selected as primary version,selected_for_transcript
Ezhel,Felaket,Ezhel Felaket,base,1,-x5LnDSctk0,Ezhel - Felaket (Official Audio),Ezhel,2019-01-31T21:04:36Z,https://www.youtube.com/watch?v=-x5LnDSctk0,"Ezhel - Felaket / 2019 Koal, Produced By: Bugy, Mixed and Mastered by: Lex Barkey, Artwork Design: Cihan Kılıç.",62633887,487272,24286,PT3M15S,10,tr,tr,yes,yes,yes,no,official artist,,,Selected as primary version,selected_for_transcript
Barış Manço,Gülpembe,Barış Manço Gülpembe,base,1,zd8IFDgQCUc,Barış Manço - Gülpembe,netd müzik,2014-03-04T08:48:44Z,https://www.youtube.com/watch?v=zd8IFDgQCUc,"Barış Manço'nun, EMRE GRAFSON MÜZİK etiketiyle yayınlanan ""Mançoloji, Vol. 1"" albümünde yer alan ""Gül Pembe"" isimli şarkısı ...",99321205,457643,27006,PT5M12S,10,tr,,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
Barış Manço,Dönence,Barış Manço Dönence,base,3,aRsi3SHma6c,Dönence,Barış Manço - Topic,2018-11-22T14:58:35Z,https://www.youtube.com/watch?v=aRsi3SHma6c,Provided to YouTube by Netd Müzik Video Dijital Platform A.Ş. Dönence · Barış Manço · Barış Manço · Barış Manço · C. Güven Hal ...,34536361,113903,2952,PT6M45S,10,tr,,yes,yes,yes,no,topic,,,Selected as primary version,selected_for_transcript
Cem Karaca,Resimdeki Gözyaşları,Cem Karaca Resimdeki Gözyaşları,base,1,LfnX9nujOQ0,Cem Karaca - Resimdeki Gözyaşları (Official Audio),Avrupa Müzik,2019-02-07T14:51:00Z,https://www.youtube.com/watch?v=LfnX9nujOQ0,"Cem Karaca'nın, Yavuz Burç Plakçılık etiketiyle yayımlanan ""Resimdeki Gözyaşları"" isimli şarkısı, Avrupa Müzik kanalında! Kanala ...",529388,5533,75,PT3M6S,10,tr,,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
Cem Karaca,Tamirci Çırağı,Cem Karaca Tamirci Çırağı,base,1,suDxvitFEgA,Cem Karaca - Tamirci Çırağı (Official Lyric Video),Yavuz Burç Plakçılık,2023-11-22T08:33:48Z,https://www.youtube.com/watch?v=suDxvitFEgA,"Cem Karaca'nın, ""Tamirci Çırağı"" isimli şarkısı, lyric video klibiyle Yavuz Burç Plakçılık kanalında! Söz - Müzik: Cem Karaca Lyrics: ...",16392,92,2,PT4M57S,10,tr,,yes,yes,yes,no,official label,,,Selected as primary version,selected_for_transcript
