video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,description,search_query
7PxtpPGOmyI,Michael Jackson - Smooth Criminal  | Arabesk Versiyon 🔥 (Turkish Arabesque Version) | AI Cover,Ya Böyle Olsaydı?,2026-02-16T14:48:56Z,https://www.youtube.com/watch?v=7PxtpPGOmyI,129871,3278,328,"Michael Jackson İstanbul'da yaşasaydı ve bir arabesk sanatçısı olsaydı nasıl olurdu? 🇹🇷 ""Ya Böyle Olsaydı?"" serimizde efsanevi Smooth Criminal parçasını yapay zeka (AI) ile ""damar"" bir arabesk parçaya dönüştürdük.

What if the King of Pop lived in Istanbul? Experience Michael Jackson's ""Smooth Criminal"" like never before—as a deep, emotional Turkish Arabesque song! In this AI Cover, we reimagined the legendary track with oriental strings and traditional rhythms.

🎧 **En iyi deneyim için kulaklıkla dinleyin! / Headphones Recommended!**

👇 **Sıradaki parça ne olsun? / Which song should we adapt next?**
Yorumlarda belirtin! / Let us know in the comments!

---
📢 **Sosyal Medya Hesaplarımız / Follow my Socials:**
📷 Instagram: https://www.instagram.com/yaboyleolsaydi1
🎵 TikTok: https://www.tiktok.com/@yaboyleolsaydi1
🎶 Spotify: https://open.spotify.com/artist/5ZtXkIo1TmedQJxh3jHWCy?si=jROiJkN2QgudpdiEor2I4Q

---
#MichaelJackson #SmoothCriminal #AICover #Arabesk #TurkishMusic #AIremix #YaBöyleOlsaydı #OrientalMix #KingOfPop #YapayZekaMüzik #DamarŞarkılar #Müzik #remix",Turkish AI generated song
aaJHbNEj8Bc,Kesik Çayır Biçilir mi?  | Turkish Skytrip AI Music | Anatolian Folk Mix,BEN CAN,2025-11-09T17:13:30Z,https://www.youtube.com/watch?v=aaJHbNEj8Bc,956,9,0,"🎶 Kesik Çayır Biçilir mi? – AI Cover 🎶

Bu videoda halk müziğimizin unutulmaz eseri “Kesik Çayır Biçilir mi?” yapay zekâ ile yeniden hayat buluyor. Geleneksel tınılar, modern altyapı ve duygulu AI vokallerle birleşti.

💫 Bu Cover’da Neler Var?

Orijinal eserin dokusuna sadık, modern AI düzenleme

Yeni nesil vokal senteziyle duygu dolu yorum

Türk Halk Müziği’ne saygı duruşu niteliğinde bir yeniden yapım


👇 Beğenmeyi, yorum yapmayı ve abone olmayı unutmayın!
🔔 Yeni AI cover’lar için bildirimleri açın!

#KesikÇayırBiçilirMi #AICover #TürkHalkMüziği #YapayZeka #Türkü #MusicCover #AI

#AnadoluSkytrip​ #Türkü​ #TürküCover​ #TürkHalkMüziği​ #AnadoluTürküleri​ #Cover​ #HiFi​ #Music​ #Acoustic​ #Live​ #TürkMüziği​ #HalkMüziği​ #DuygusalTürkü​ #AcıklıTürkü​ #AnadoluEzgi​ #TürküSevdamız​ #TürkülerYolumuz​ #TurkishMusic​ #DeepAnatolia​ #TürküDinle",Turkish AI generated song
R_dn1T2F4Xc,Vay Canım Vay - Müslüm Gürses Anısına - Anatolian Rock&Psyhdelic Arabesk Ai Cover,Anadolucovers,2025-12-27T18:00:23Z,https://www.youtube.com/watch?v=R_dn1T2F4Xc,1873135,8300,414,"https://open.spotify.com/intl-tr/track/1Oo96ws9oOtXKO2ZQc2hM7?si=e1cbba3f2d17434e
Sevgili Dostlar,
Bu cover bir sitemin, bir kabullenişin ve içten gelen bir ahın şarkısı.
Bu cover’da; geçmişten bugüne taşınan o tanıdık duyguyu, Anadolu’nun ruhunu bozmadan ama bugünün sahne hissiyle yeniden yorumlamak istedik.
Biraz hüzün, biraz hatıra, biraz da “olan oldu” diyen bir teslimiyet var içinde.
Dinlerken içinizde bir yer sızlarsa, bilin ki bu şarkı amacına ulaşmıştır.
Çünkü bazı şarkılar eğlendirmez… eşlik ister.

İyi dinlemeler 🤍

📌 Telif Hakkı & Saygı Notu
Bu eser ve bestesi tamamen hak sahiplerine aittir.
Müslüm Gürses'e ve emeği geçen tüm müzisyenlere saygıyla…
Bu çalışma herhangi bir ticari amaç taşımamaktadır; tamamen bir saygı ve müzikal yorum çalışmasıdır.
Bu şarkının hak sahibi talep ederse şarkı yayından kaldırılacaktır.

📌KANALA ABONE OLMAYI UNUTMA! 
Yeni şarkılar, özel projeler ve güçlü hikayeler için bizi takipte kalın. 
👍 Beğenmeyi, 
💬 Yorum bırakmayı, 
🔔 Bildirimleri açmayı unutma! 









#vaycanımvay #vaycanimvay #vaycanımvaycover #vaycanimvaycover #anatoliacovers #anatolia #anatolianmusic #anatolianrock #arabesk #arabeskcover #türkmüziği #türkşarkıları #türkcover #turkishmusic #turkishsongs #turkishcover #nostalji #nostaljikşarkılar #eskişarkılar #efsaneler #duygusalşarkılar #hüzünlü #damardamar #damarmüzik #meyhane #meyhanemüzik #sahnemüzik #canlıperformans #livecover #coversong #covermusic #folk #folkrock #anadolu #anadolurock #anadoluhalk #halkmüziği #türkhalkmüziği #thm #arabeskrock #duygusalcover #kadınvokal #femalevocal #vokalperformans #şarkı #müzik #music #song #songs #cover #youtube #youtubemusic #youtubevideo #youtubecover #keşfet #keşfetteyiz #trend #trending #trendmusic #viral #viralmusic #keşfetbeniöneçıkar #dinle #dinlemelik #playlist #slowmusic #slowcover #akustik #acoustic #akustikcover #duygu #hüzün #sitem #hasret #özlem #acı #yara #kalp #gönül #aşk #aşkmüziği #ayrılık #ayrılıkişarkıları #geceşarkıları #gecemüziği #gecedinle #yalnızlık #yalnızgeceler #sigaramdumanı #meyhaneşarkıları #sıra gecesi #sıra gecesi müziği #türkklasikleri #klasikşarkılar #efsaneşarkılar #unutulmazşarkılar #arabeskruh #anadoluruhu #ruhanimüzik #nostalgic #oldies #classics #emotionalmusic #emotionalcover #deepfeelings #heartfelt #sadmusic #melancholic #soulmusic #stageperformance #studioquality #highqualityaudio #4kvideo #musicvideo #officialcover #newcover #2025music #2025cover #keşfet2025 #anatoliacoversyoutube",Turkish AI generated song
fyGVWv60iYU,AI Kızdan Türkçe Şarkı: “Rüyaların İzinde” | You’ve Never Heard This Before! 😲,MirPulse,2025-07-22T10:25:56Z,https://www.youtube.com/watch?v=fyGVWv60iYU,1721,2,1,"AI Kızdan Türkçe Şarkı: “Rüyaların İzinde” | You’ve Never Heard This Before! 😲

🎵 Rüyaların İzinde (In the Wake of Dreams) – Türkçe orijinal şarkım, yapay zekâ ile oluşturulmuş bir kız tarafından seslendiriliyor. Bu kısa videoda, duygularla yüklü bir AI performansı sizi bekliyor. 💫

🎤 My original Turkish song ""Rüyaların İzinde"" is performed by an AI-generated girl – a surreal blend of emotional vocals and futuristic visuals. This is how AI and art come together to create something magical.

💡 Ne İzliyorsunuz / What You’re Watching:

Yapay zekâ destekli dijital bir kızın Türkçe şarkı yorumu

AI meets Turkish dream pop

Kısa ama etkileyici bir müzik deneyimi

A futuristic twist on traditional sound

🔔 Daha fazla AI müzik, Türkçe pop ve dijital sanat için abone olun!
Subscribe for more AI music, Turkish songs & next-gen creativity.

👇 Yorumlara yaz:
Sizce yapay zekâ duyguları yansıtabilir mi? / Can AI really express emotion?

#Rüyalarınİzinde #TürkçeŞarkı #TurkishSong #YapayZeka #AISinger #Shorts #AIMusic #AIŞarkı #DreamPop #FutureOfMusic",Turkish AI generated song
uXSwoddI-XI,Aramam - İbrahim Tatlıses AI (Cover),MeloDiary,2026-01-05T21:34:54Z,https://www.youtube.com/watch?v=uXSwoddI-XI,205274,1009,58,"Dostlar Merhaba !

Yapay zeka kullanarak geçmişten günümüze yüreklerimize dokunan eserleri sizlerle farklı tarzlarda buluşturmaya devam ediyorum.

İbrahim Tatlıses'in 2004 yılında çıkardığı, aynı adı taşıyan albümün hit parçası olan ""Aramam"", Türk müziğinin en ikonik ""vazgeçiş"" ve ""sitem"" şarkılarından biridir. Şarkı, hem sözleri hem de Tatlıses’in güçlü yorumuyla bir ilişkinin geri dönülemez noktaya gelişini anlatır.

""Aramam"", bir kaybediş hikayesi değil, bir kendine geliş hikayesidir. Seven birinin, sevgisi suistimal edildiğinde nasıl bir duvara dönüştüğünü anlatır. Şarkı, ""Ben elimden geleni yaptım, sıra bende değil, artık hiç kimsede"" diyerek kapıyı sonsuza dek kapatır.

Ben de bu eseri Anatolian Rock, Turkish Psychedelic Rock ve Modern Arabesk tarzları ile harmanlayıp sizler için oluşturdum. 

Umarım bam telinize dokunur. Dinlerken hissetmeniz dileğiyle.

Beğenmeyi, abone olmayı ve paylaşmayı unutmayın
Başlangıçta desteğiniz benim için çok kıymetli! 🤍 Sevgilerimle..

Cover: Bu şarkı, yapay zeka müzik teknolojileri (AI Music Generation) kullanılarak deneysel amaçla üretilmiştir. Yapılan bu yeniden düzenleme, yapay zekanın sanatsal üretimdeki potansiyelini göstermektedir.

Telif Hakları
Bu cover, eğlence ve deneysel amaçlı yapay zeka ile üretilmiştir. İbrahim Tatlıses'in eserine saygı duruşu niteliğinde, kar amacı gütmeyen sanatsal bir hayran performansıdır. Şarkının beste ve söz hakları yasal sahiplerine aittir. Gelir elde etme amacı taşınmamaktadır. Bu proje yalnızca sanatsal ve kültürel bir yeniden yorumdur.

━━━━━━━━━━━━━━━━━━━━

🎼 Music: SUNO v5
🎨 Cover Art: GEMİNİ
🧠 Concept & Prompt Design: GEMİNİ
📀 Produced by: MeloDiary

🔔 Subscribe for more ghostly MeloDiary experiments.

━━━━━━━━━━━━━━━━━━━━

📩 Telif & İş Birliği / Licensing & Collaboration: b.melihcayit@gmail.com


[EN]

Hello Friends!

I continue to bring you works that have touched our hearts from the past to the present, in different styles, using artificial intelligence.

""Aramam,"" the hit song from İbrahim Tatlıses's 2004 album of the same name, is one of the most iconic ""giving up"" and ""reproach"" songs in Turkish music. The song, both in its lyrics and Tatlıses's powerful interpretation, describes a relationship reaching an irreversible point.

""Aramam"" is not a story of loss, but a story of self-discovery. It tells how someone who loves turns into a wall when their love is abused. The song closes the door forever, saying, ""I did everything I could, it's not my turn anymore, it's nobody's turn anymore.""

I have blended this work with Anatolian Rock, Turkish Psychedelic Rock, and Modern Arabesque styles to create this for you.

I hope it touches your heartstrings. Wishing you feel it while listening.

Don't forget to like, subscribe, and share!
Your support is invaluable to me at the beginning! 🤍 With love...

Cover: This song was produced experimentally using AI music generation technologies. This re-arrangement demonstrates the potential of AI in artistic production.

Copyright
This cover was produced with AI for entertainment and experimental purposes. It is a non-profit artistic fan performance in homage to the work of İbrahim Tatlıses. The composition and lyrics rights of the song belong to their legal owners. It is not intended to generate income. This project is solely an artistic and cultural reinterpretation.

━━━━━━━━━━━━━━━━━━━━

🎼 Music: SUNO v5
🎨 Cover Art: GEMINI
🧠 Concept & Prompt Design: GEMINI
📀 Produced by: MeloDiary

🔔 Subscribe for more ghostly MeloDiary experiments.

━━━━━━━━━━━━━━━━━━━━

📩 Copyright & Collaboration / Licensing & Collaboration: b.melihcayit@gmail.com

#İbrahimTatlıses #Aramam #TurkishFolk #AnadoluRock #Türkiye #Melancholic #ModernArabesk #Rock  #AIMusic #AIMüzik #Fantezi #Arabesk #Turkish  #Psychedelicrock",Turkish AI generated song
QjgXoBRzcjQ,Şimdi Uzaklardasın | Musica De Anatolia - Psychedelic Rock Version,Musica De Anatolia,2025-11-21T11:54:51Z,https://www.youtube.com/watch?v=QjgXoBRzcjQ,14837943,21167,485,"Experience a soulful journey through the echoes of separation and the infinite depth of longing.

Let this melody transport you to a place where dreams and reality blur — where the legacy of Cemali meets the iconic spirit of Zerrin Özer in a modern symphony of sorrow.

🌍 Musica De Anatolia is a project born from digital soul — uniting the raw emotion of Turkish poetry with cinematic soundscapes. Blending traditional storytelling with modern acoustic-rock fusion. Perfect for: Late night drives, moments of introspection, and healing a broken heart.

🎶 Track Info:
About the Song: “Şimdi Uzaklardasın” explores the haunting beauty of unrequited longing. Originally written and performed by the legendary duo Cemali, and later immortalized by the powerful voice of Zerrin Özer, this version pays homage to both masters. It tells the story of a heart caught between the pain of reality and the comfort of dreams.

Original Songwriter & Artist: Cemali
Inspired by the Interpretation of: Zerrin Özer
Title: Şimdi Uzaklardasın
Genre: Anatolian Rock Ballad / Emotional Slow Pop / Cinematic

📅 Follow & Subscribe for new Emotional & Atmospheric tracks every week:
👉 https://www.youtube.com/@UC7azW213Xqw-q5IJ8XK5RZQ 

💬 Tell us: Who comes to your mind when you close your eyes and listen to this melody? Comment below 🌑

🇹🇷 Cemali'nin zamansız sözleri ve Zerrin Özer'in kalplere dokunan yorumundan ilhamla... Mesafelerin ayırdığı ama rüyaların birleştirdiği kalpler için; hüzünlü bir bekleyişin ve içsel bir arayışın hikayesi.

#AnatolianRock #Cemali #ZerrinÖzer #SlowPop #EmotionalMusic #TurkishBallad #ŞimdiUzaklardasın #MusicaDeAnatolia #Nostalji",Turkish AI generated song
JeFeXntjxQI,New Turkish Viral Song 2026 🎵 | AI Music Sensation  |Viral Turkish Music 2026 |,Desert Trance,2026-01-14T15:23:35Z,https://www.youtube.com/watch?v=JeFeXntjxQI,2367,20,30,"Experience the beauty of Turkish music with this AI generated song.A fresh vibe, deep emotions, and modern sound.Subscribe for more AI music.Like & share if you enjoyed it.Welcome to Desert Trance 🎧
turkish song, turkish ai song, ai generated turkish music, new turkish song 2026, viral turkish song, turkish music ai, ai song, turkish melody, turkish vibes, trending turkish song, ai music 2026

This channel features Turkish Eastern Iranian and Arabic AI music blended with powerful trance beats and car music vibes.

Enjoy night drive music, electronic trance, and Middle Eastern sounds.
For the best experience, use headphones.

Subscribe for more 🔥                                                                                                                           #TurkishSong  
#TurkishAISong  
#AIGeneratedMusic  
#TurkishVibes  
#ViralSong  
#AIMusic  
#NewTurkishSong  
#TurkishMusic  
#TrendingSong  
#AIBeats   #TurkishViralSong
#NewMusic2024
#TurkishMusic
#ViralSong
#TrendingMusic
#TurkishPop
#MusicVideo
#BreakingMusic
#TopChartsTurkey
#NewRelease",Turkish AI generated song
FaxOfnJk5nQ,İçimde Tutamam,Music Ai Turkish - Topic,2025-10-25T15:54:40Z,https://www.youtube.com/watch?v=FaxOfnJk5nQ,29592,67,7,"Provided to YouTube by DistroKid

İçimde Tutamam · Music Ai Turkish · Music Ai Turkish · Mat Prodüksiyon

İçimde Tutamam

℗ MAT Prodüksiyon

Released on: 2025-10-25

Auto-generated by YouTube.",Turkish AI generated song
lQBkTdpqkwg,Turkish Afro House 2026 🌙 | Deep Turkish Afro House Set & Vibes & Mix | Vol. 2,Unfiltered Bass,2026-05-11T18:00:44Z,https://www.youtube.com/watch?v=lQBkTdpqkwg,1118080,15526,483,"🔥 TURKISH AFRO HOUSE 2026 🇹🇷🌍
The perfect fusion of deep Afro rhythms and Turkish vibes you’ve never heard before…

Feel the energy of Cappadocia sunsets, Istanbul nights, and hypnotic Afro House beats all in one mix. This is not just music — this is a journey.

🎧 Whether you're:

Studying 📚
Driving 🚗
Working 💻
Or just vibing ✨

This mix will keep you locked in from start to finish.

⚡ WHY YOU’LL LOVE THIS MIX

Deep & melodic Afro House rhythms
Turkish-inspired melodies & атмосpheres
Smooth transitions for non-stop flow
Perfect background + party energy combo

🔥 DON’T MISS OUT
👉 If you enjoy artists like:
Black Coffee, Keinemusik, & Afro House vibes…
Then this mix is made for YOU.

📌 SUPPORT THE CHANNEL
👍 Like the video
💬 Comment your favorite track
🔔 Subscribe for more Afro House & global vibes

🌍 MORE VIBES COMING SOON
Turkish House • Afro Deep House • Chill Sunset Mixes • Travel Vibes

#AfroHouse #TurkishAfroHouse #DeepHouse #AfroVibes #HouseMusic #ChillMix #djmix",Turkish AI generated song
ebhLL3rZOso,"Psychedelic Turkish Trip Hop [Full AI Album] | you've worked all day, now you can chill...",Gentle Singularity Records,2025-07-07T13:56:03Z,https://www.youtube.com/watch?v=ebhLL3rZOso,59083,2025,101,"Fellow AI enthusiast, music lover or creative? Get my FREE step-by-step guide on making your own AI music video: https://gentle-singularity-records.beehiiv.com/subscribe

This one is a swirling, saz-soaked voyage of psychedelic Turkish trip hop to help you unwind and head nod.

It turned into a proper midnight banger—hope you dig the groove as much as I do!

Created with the help of AI. Hope you enjoy my friend!

==================================================
TRACK LIST
00:00 Golden Raki under Purple Skies
03:00 Rosewood Echo at Dawn
06:01 Soft Caravan of Crystal Lanterns
09:40 Opaque Harem Lullaby
13:47 Sailing through Dolmabahçe Glow
17:16 Velvet Minarets Drift Slow
20:53 Dervish Turns in Low Light
24:02 Subterranean Ney Reverberations
27:49 Hookah Serenade in Sapphire
31:17 Lantern Glow Loops Forever
35:04 Night-Blooming Tulip Tones
38:43 Bazaar Drizzle & Beat Confetti
43:03 Honey Hookah Half-Lights
46:21 Saffron Echoes in Slow Motion
49:56 Overnight Oud Mirage
53:46 Lavender Waves of the Golden Ney
57:28 Raki Reverie
60:51 Bosphorus Breeze Beat
64:21 Spiced Citrus Cloudscape
67:33 Ottoman Pulse in Half Tempo
71:07 Taksim Traffic in Slow Motion
75:01 Lime Lamps of the Meyhane
77:46 Neon Saz over the Golden Horn
81:25 Electric Dervish Daydream
83:58 Saz Lines over Sunset Vinyl
87:24 Saz Drifting across Quiet Sea
90:46 Trip Hop at Topkapi Twilight
95:10 Silk Shadows on Kadıköy Shore
98:34 Dusting Sumac Stars
==================================================",Turkish AI generated song
