Song Title,Artist / Channel,Channel Type,Language / Market,Genre / Style,Source Platform,Platform Link,YouTube Views,YouTube Likes,YouTube Comments,Like Rate,Comment Rate,Lyrics Available?,Engagement Available?,Title Keywords,Possible Theme,Keyword Ambiguity?,Notes
Kim Duyar Seni,Hasip Ağırçelik,AI/Suno-assisted independent channel,Turkish / Turkey,Turkish rap / AI-generated / emotional trap / social realism,YouTube,https://www.youtube.com/watch?v=ohYJ1vyuR0Y&list=RDohYJ1vyuR0Y&start_radio=1,9467,70,10,0.74%,0.11%,Yes,Yes,"kim, duyar, seni",social realism / emotional struggle,Low-Medium: needs lyric context,Exploratory; single-song; social hardship
Hakkımı Sana Helal Ettim,Bağımsız Objektif MAliDA,AI/Suno-assisted independent channel,Turkish / Turkey,Turkish pop / AI-generated / emotional pop,YouTube,https://www.youtube.com/watch?v=JCCeDUOUV9U&list=RDJCCeDUOUV9U&start_radio=1,243,2,2,0.82%,0.82%,Yes,Yes,"hakkımı, helal, ettim, git, güle güle, mevsim, ayrılık",forgiveness / heartbreak / farewell / emotional closure,Medium: theme overlap,Exploratory; single-song; farewell/forgiveness
Best 4 Energetic Dancable Happy Turkish Songs Ever By AI Suno,SoundSurge,AI/Suno channel,Turkish / Turkey,Turkish pop / AI-generated / energetic compilation,YouTube,https://www.youtube.com/watch?v=0hzEiLsVuWI&list=RD0hzEiLsVuWI&start_radio=1,633,3,0,0.47%,0.00%,Partial,Partial,"energetic, danceable, happy, Turkish, AI Suno",party / dance / energetic mood,Medium: compilation issue,Exploratory; compilation; video-level engagement
Ayla Çelik - Bağdat (Beyazıt Öztürk Düet Versiyon),Ayla Çelik,Official artist channel,Turkish / Turkey,Turkish pop / love ballad / duet,YouTube,https://www.youtube.com/watch?v=xl63OdwuoAw&list=PL7r7ysC8tuKQiN8HZxWfmL1ynk3jIPsLh,238035189,800000,31726,0.34%,0.01%,Yes,Yes,"Bağdat, duet, love song",romance / longing / emotional pop,Medium: place name,Mainstream benchmark; external lyrics
Mustafa Ceceli - Gül Rengi,Mustafa Ceceli / netd müzik,Official distributor / major music channel,Turkish / Turkey,Turkish pop / romantic ballad,YouTube,https://www.youtube.com/watch?v=NudUovOABjQ&list=RDNudUovOABjQ&start_radio=1,224102546,720000,30087,0.32%,0.01%,Yes,Yes,"gül, rengi, love",romance / emotional pop,Medium: metaphorical title,Mainstream pop/love; major distributor
Buray - İstersen,Buray,Official artist channel,Turkish / Turkey,Turkish pop / romantic pop,YouTube,https://www.youtube.com/watch?v=b4FZ8og276c,200204704,900000,28305,0.45%,0.01%,Yes,Yes,"istersen, love, desire",romance / longing / relationship,Medium: broad title,Mainstream pop; official artist channel
Tuğçe Kandemir - Gülü Soldurmam,Tuğçe Kandemir / netd müzik,Official distributor / major music channel,Turkish / Turkey,Turkish pop / emotional ballad,YouTube,https://www.youtube.com/watch?v=FqZG6J1z3Iw&list=RDFqZG6J1z3Iw&start_radio=1,179689352,710000,23623,0.40%,0.01%,Yes,Yes,"gül, soldurmam, flower",emotional love / protection / devotion,Medium: metaphorical flower imagery,Emotional pop; metaphor/title ambiguity
TARKAN - Şımarık,TARKAN,Official artist channel,Turkish / Turkey,Turkish pop / dance-pop,YouTube,https://www.youtube.com/watch?v=cpp69ghR1IM&list=RDcpp69ghR1IM&start_radio=1,99374386,720000,3,0.72%,0.00%,Yes,Partial,"şımarık, kiss, playful",pop / playful romance / dance,Medium: title may signal attitude,Classic pop; comments appear limited
Musti - Yana Yana,Musti / netd müzik,Official distributor / major music channel,Turkish / Turkey,Turkish pop / energetic pop,YouTube,https://www.youtube.com/watch?v=htwxNtnhB_M,7770764,31000,542,0.40%,0.01%,Yes,Yes,"yana yana, burning, emotion",energetic pop / passion,Medium: emotional phrase,Energetic pop; major distributor
Ece Seçkin - Adeyyo,Ece Seçkin / netd müzik,Official distributor / major music channel,Turkish / Turkey,Turkish pop / dance-pop / energetic,YouTube,https://www.youtube.com/watch?v=2g3-Ba0NA5E&list=RD2g3-Ba0NA5E&start_radio=1,211858006,590000,45199,0.28%,0.02%,Yes,Yes,"Adeyyo, dance, energetic, summer",dance-pop / party / energetic mood,Low-Medium: unclear catchy title,Dance-pop; major distributor
Ezhel - İmkansızım,Ezhel,Official artist channel,Turkish / Turkey,Turkish rap / hip-hop / emotional rap,YouTube,https://www.youtube.com/watch?v=Hrf7F3QAfvE&list=RDHrf7F3QAfvE&start_radio=1,98456106,330000,5448,0.34%,0.01%,Yes,Yes,"imkansızım, impossible",emotional struggle / romance / self-conflict,Medium: lyric context,Turkish rap; pop/rap comparison
Üsküdar'a Gider İken,Traditional / caesarian38,Traditional / archive channel,Turkish / Turkey,Turkish folk / traditional,YouTube,https://www.youtube.com/watch?v=SymcEAeYGOw&list=RDSymcEAeYGOw&start_radio=1,12785512,87000,5479,0.68%,0.04%,Yes,Yes,"Üsküdar, traditional, place",local culture / folk / place-based identity,Medium: place / culture,Traditional folk; external lyrics
Neşet Ertaş - Gönül Dağı,Neşet Ertaş / Kalan Müzik,Official label / archive channel,Turkish / Turkey,Turkish folk / traditional / bozlak,YouTube,https://www.youtube.com/watch?v=aXLj7rM6UQQ&list=RDaXLj7rM6UQQ&start_radio=1,34449401,130000,5970,0.38%,0.02%,Yes,Yes,"gönül, dağı, folk, bozlak",love / longing / folk poetry / emotional reflection,High: poetic / folk language,Folk/traditional; theme comparison
