video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,search_query,description_preview,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes
7PxtpPGOmyI,Michael Jackson - Smooth Criminal | Arabesk Versiyon 🔥 (Turkish Arabesque Version) | AI Cover,Ya Böyle Olsaydı?,2026-02-16T14:48:56Z,https://www.youtube.com/watch?v=7PxtpPGOmyI,129871,3278,328,Turkish AI generated song,"Michael Jackson İstanbul'da yaşasaydı ve bir arabesk sanatçısı olsaydı nasıl olurdu? 🇹🇷 ""Ya Böyle Olsaydı?"" serimizde ef",yes,yes,yes,yes,AI cover channel,Arabesk,,
aaJHbNEj8Bc,Kesik Çayır Biçilir mi? | Turkish Skytrip AI Music | Anatolian Folk Mix,BEN CAN,2025-11-09T17:13:30Z,https://www.youtube.com/watch?v=aaJHbNEj8Bc,956,9,0,Turkish AI generated song,🎶 Kesik Çayır Biçilir mi? – AI Cover 🎶 Bu videoda halk müziğimizin unutulmaz eseri “Kesik Çayır Biçilir mi?” yapay zekâ,yes,yes,yes,yes,AI music channel,Anatolian folk,,
R_dn1T2F4Xc,Vay Canım Vay - Müslüm Gürses Anısına - Anatolian Rock&Psyhdelic Arabesk Ai Cover,Anadolucovers,2025-12-27T18:00:23Z,https://www.youtube.com/watch?v=R_dn1T2F4Xc,1873135,8300,414,Turkish AI generated song,"https://open.spotify.com/intl-tr/track/1Oo96ws9oOtXKO2ZQc2hM7?si=e1cbba3f2d17434e Sevgili Dostlar, Bu cover bir sitemin,",yes,yes,yes,yes,AI cover channel,Arabesk / Anatolian Rock / Psychedelic,,AI cover of an existing Turkish song; not Suno-specific
fyGVWv60iYU,AI Kızdan Türkçe Şarkı: “Rüyaların İzinde” | You’ve Never Heard This Before! 😲,MirPulse,2025-07-22T10:25:56Z,https://www.youtube.com/watch?v=fyGVWv60iYU,1721,2,1,Turkish AI generated song,AI Kızdan Türkçe Şarkı: “Rüyaların İzinde” | You’ve Never Heard This Before! 😲 🎵 Rüyaların İzinde (In the Wake of Dreams,yes,yes,yes,yes,AI music channel,Dream pop / pop,,
uXSwoddI-XI,Aramam - İbrahim Tatlıses AI (Cover),MeloDiary,2026-01-05T21:34:54Z,https://www.youtube.com/watch?v=uXSwoddI-XI,205274,1009,58,Turkish AI generated song,Dostlar Merhaba ! Yapay zeka kullanarak geçmişten günümüze yüreklerimize dokunan eserleri sizlerle farklı tarzlarda bulu,yes,yes,yes,yes,AI cover channel,Anatolian Rock / Psychedelic Rock,,
QjgXoBRzcjQ,Şimdi Uzaklardasın | Musica De Anatolia - Psychedelic Rock Version,Musica De Anatolia,2025-11-21T11:54:51Z,https://www.youtube.com/watch?v=QjgXoBRzcjQ,14837943,21167,485,Turkish AI generated song,Experience a soulful journey through the echoes of separation and the infinite depth of longing. Let this melody transpo,yes,yes,yes,no,Music reinterpretation channel,Anatolian Rock / Psychedelic Rock,,Style reinterpretation; no explicit AI indication
JeFeXntjxQI,New Turkish Viral Song 2026 🎵 | AI Music Sensation |Viral Turkish Music 2026 |,Desert Trance,2026-01-14T15:23:35Z,https://www.youtube.com/watch?v=JeFeXntjxQI,2367,20,30,Turkish AI generated song,"Experience the beauty of Turkish music with this AI generated song.A fresh vibe, deep emotions, and modern sound.Subscri",yes,yes,yes,yes,AI music channel,Turkish pop,,
FaxOfnJk5nQ,İçimde Tutamam,Music Ai Turkish - Topic,2025-10-25T15:54:40Z,https://www.youtube.com/watch?v=FaxOfnJk5nQ,29592,67,7,Turkish AI generated song,Provided to YouTube by DistroKid İçimde Tutamam · Music Ai Turkish · Music Ai Turkish · Mat Prodüksiyon İçimde Tutamam ℗,yes,yes,yes,yes,AI music channel,Pop,,
lQBkTdpqkwg,Turkish Afro House 2026 🌙 | Deep Turkish Afro House Set & Vibes & Mix | Vol. 2,Unfiltered Bass,2026-05-11T18:00:44Z,https://www.youtube.com/watch?v=lQBkTdpqkwg,1118080,15526,483,Turkish AI generated song,🔥 TURKISH AFRO HOUSE 2026 🇹🇷🌍 The perfect fusion of deep Afro rhythms and Turkish vibes you’ve never heard before… Feel,no,unsure,yes,no,DJ / mix channel,Afro House / Deep House,,DJ mix; exclude from song-level sample
ebhLL3rZOso,"Psychedelic Turkish Trip Hop [Full AI Album] | you've worked all day, now you can chill...",Gentle Singularity Records,2025-07-07T13:56:03Z,https://www.youtube.com/watch?v=ebhLL3rZOso,59083,2025,101,Turkish AI generated song,"Fellow AI enthusiast, music lover or creative? Get my FREE step-by-step guide on making your own AI music video: https:/",yes,yes,yes,yes,AI music channel,Psychedelic Trip Hop,,
WlEN-2jrI6U,SUNO AI V5 VE SUNO STUDIO NASIL KULLANILIR. ROMAN HAVASI BÖLÜM 3,Bora Uzen,2025-10-29T17:00:50Z,https://www.youtube.com/watch?v=WlEN-2jrI6U,59495,1085,298,Turkish Suno song,"Suno AI Studio nasıl kullanılır? Yapay zekayla Roman Havası yapmayı, kendi sesini eklemeyi öğren! Bu bölümde Trakya & Ro",,,,,,,,
