search_query,video_id,title,channel_title,published_at,view_count,like_count,comment_count,youtube_url
lofi study music,sF80I-TQiW0,90's Chill Lofi ☕️ Study Music Lofi Rain Chillhop Beats ☔️ Lofi Rain Playlist,The Japanese Town,2024-06-04T05:02:38Z,24421341,165845,7323,https://www.youtube.com/watch?v=sF80I-TQiW0
lofi study music,lTRiuFIWV54,1 A.M Study Session 📚 [lofi hip hop],Lofi Girl,2019-12-08T22:02:06Z,133494324,2123672,67297,https://www.youtube.com/watch?v=lTRiuFIWV54
lofi study music,Y9mRoCerrpY,"Cozy Library Coffee Shop Lofi ☕ — Deep Focus to Work, Study & Relax | Lofi Music",Kodi Lofi,2025-07-05T13:01:05Z,2002527,10476,403,https://www.youtube.com/watch?v=Y9mRoCerrpY
lofi study music,0Qw8ctDj658,"Calm & Collected✨| Jazzy R&B Trap-Soul Lo-Fi| Deep Focus, Work & Journaling",SoulFi Room ,2026-02-25T17:49:37Z,371416,5693,493,https://www.youtube.com/watch?v=0Qw8ctDj658
lofi study music,OO2kPK5-qno,Make you feel positive and peaceful 🍀 Lofi Coffee ☕ ~ Lofi Hip Hop - Lofi Music [ Study/ Relax ],Lofi Coffee,2024-05-18T12:00:23Z,12228161,73186,3374,https://www.youtube.com/watch?v=OO2kPK5-qno
lofi study music,EWrX250Zhko,lofi hip hop radio 📚 beats to relax/study to,Lofi Girl,2023-07-02T21:03:58Z,2642434,14870,0,https://www.youtube.com/watch?v=EWrX250Zhko
lofi study music,P-XnYn3FUq4,"Christian Lofi Playlist - To relax, chill, study, or pray to. 📚",REDEFINED TV,2025-08-01T16:21:53Z,607692,10265,398,https://www.youtube.com/watch?v=P-XnYn3FUq4
lofi study music,53gNFOqDFcE,study with me [pomodoro] 📚 3 hours of lofi focus music,Lofi Girl,2026-01-20T15:00:07Z,1158562,11160,394,https://www.youtube.com/watch?v=53gNFOqDFcE
lofi study music,Q89Dzox4jAE,Lofi Work Space 📂 Deep Focus Study/Work Concentration [chill lo-fi hip hop beats],𝗖𝗛𝗜𝗟𝗟 𝗩𝗜𝗟𝗟𝗔𝗚𝗘,2024-05-10T04:26:02Z,4622417,17500,602,https://www.youtube.com/watch?v=Q89Dzox4jAE
lofi study music,32dGIHCzbfE,"ＳＴＵＤＹ　ＴＩＭＥ ✍ Lofi Hip Hop | Study Music ✍ Lofi study, Relaxing Music",Mimi Lofi Chill,2022-04-04T13:01:01Z,7219178,72245,3813,https://www.youtube.com/watch?v=32dGIHCzbfE
