track_name,artist_name,album_name,genre,release_date,duration_ms,track_price,currency,country,preview_url,artwork_url
Lofi Study,Lofi Radiance & Lofi Chillhop,Lofi Study Beats - EP,Easy Listening,2019-07-06T12:00:00Z,125522,0.99,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6c/65/1f/6c651f06-4301-9993-b272-61c5f0afa000/mzaf_1197394602119050210.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/fb/21/e4/fb21e416-5a48-b709-10da-e454f7082666/5059137120124_cover.jpg/100x100bb.jpg
LoFi Study,Lofi Beats Study,LoFi Study,Electronic,2021-06-03T12:00:00Z,192000,0.99,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/13/59/ca/1359ca7a-aa8a-a561-39e3-89b8ecf06cda/mzaf_13086790727207351493.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ec/c1/10/ecc1104f-a67b-c425-2834-e99524ca6398/5059806765571_cover.jpg/100x100bb.jpg
Lofi Study,LoFi Hip Hop,Lo-fi Beats (Lo-Fi Study & Chill Beats),Electronic,2023-09-15T12:00:00Z,46297,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/48/b7/e3/48b7e33a-63d3-4b53-ce09-0deb2e075450/mzaf_283683030744164600.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/81/92/29/81922931-16a5-01ef-4d44-5e6846f77ca7/509.jpg/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Study,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d6/c7/00/d6c7006a-c9fd-6c81-d24b-cc803f645d4a/mzaf_17011455319230473513.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/73/9e/19/739e195d-a476-7ac9-2d39-e8920f778105/5060781123171.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Instrumentals,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d6/be/e5/d6bee549-28e7-ab57-c5cb-b2e73d65b71f/mzaf_17416864667653760974.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f0/0b/fe/f00bfe55-fb6b-9014-7488-4090fc82b1e5/5060781122419.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Jazz Cafe,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b8/ac/b2/b8acb2ba-b3ac-6d6b-736c-40031790b0d5/mzaf_14402571476824959157.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d0/07/a1/d007a145-4342-e9b8-62b1-6b2a99af677a/5060781121580.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Bedtime Lofi,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/eb/5c/d1/eb5cd195-4153-21e7-4ca3-bfee3c97efd9/mzaf_15293458326562579.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/51/92/7d/51927de3-8eb5-e327-f799-e8178662584b/5060781121627.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Chill Day Vibes,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/91/0c/cf/910ccf21-5919-0cd4-e07d-fc55543e5ac6/mzaf_14464302014249199908.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/84/aa/f8/84aaf8fb-f5d7-9036-9ab6-d6104c689ec6/5060781128237.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Sleepy Lofi Beats,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/25/61/39/256139e2-d1cc-163a-6f6e-09b6c5e17e7c/mzaf_5780692878690264149.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7c/19/10/7c191069-cca9-54d0-e84b-4576462d441e/5060781122372.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Mix,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/0a/41/6f/0a416f82-d3c9-deb1-ebd3-fd1ec53f14d1/mzaf_11283944221344111298.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/4e/69/8b/4e698ba6-a4b4-7683-b85e-faf04b317c72/5055803577049.png/100x100bb.jpg
