source,chart_week,period,rank,previous_rank,artist,song_or_album,weeks_on_chart,published_streams_or_views,metric_type,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,genre_category_label,classification_note
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,1,1,"Xcho, By Индия, МОТ",Шадэ,4,,AGATA official rank only; exact plays not published,Russian / Cyrillic,international / non-local,Russian pop / pop-rap,russian_pop_rap,Russian pop / pop-rap,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,2,3,Jessica Shy,Žvėris,51,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,contemporary pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,3,6,The Chemical Brothers,Go,4,,AGATA official rank only; exact plays not published,English / international,international / non-local,electronic / big beat,dance_electronic,dance-pop / electronic,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,4,2,DARA,Bangaranga,3,,AGATA official rank only; exact plays not published,English / international,international / non-local,dance-pop,dance_electronic,dance-pop / electronic,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,5,5,OG Version,Pupytės,7,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,Lithuanian hip-hop / pop-rap,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,6,4,Adomas Vyšniauskas,Kely Sustoja Laikas,27,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,Lithuanian pop / ballad,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,7,10,Free Finga,Vienas,110,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,alt-pop / electronic pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,8,14,Temper City,Self Aware,10,,AGATA official rank only; exact plays not published,English / international,international / non-local,unknown / needs manual verification,unknown,unknown / needs manual verification,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,9,9,Dominic Fike,Babydoll,22,,AGATA official rank only; exact plays not published,English / international,international / non-local,indie pop / alt-pop,indie_alternative,indie / alternative,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,10,12,Michael Jackson,Billie Jean,7,,AGATA official rank only; exact plays not published,English / international,international / non-local,classic pop / funk,nostalgia_catalog,nostalgia catalog,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,11,8,"Sauben, Hiperbole",Laužai,52,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,Lithuanian pop / nostalgia,nostalgia_catalog,nostalgia catalog,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,12,13,Jessica Shy,Tarp Geltonų Rūtų,105,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,contemporary pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,13,,Ariana Grande,hate that i made you love me,1,,AGATA official rank only; exact plays not published,English / international,international / non-local,pop / R&B,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,14,7,Sal da Vinci,Per sempre sì,3,,AGATA official rank only; exact plays not published,Other European language,international / non-local,unknown / needs manual verification,unknown,unknown / needs manual verification,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,15,15,Justin Bieber,Beauty And A Beat,8,,AGATA official rank only; exact plays not published,English / international,international / non-local,pop / dance-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,16,19,Free Finga,Liūdna!,5,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,alt-pop / electronic pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,17,20,Empire of the Sun,We Are The People,83,,AGATA official rank only; exact plays not published,English / international,international / non-local,electronic pop / synth-pop,dance_electronic,dance-pop / electronic,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,18,18,Solo Ansamblis,Meilės Mašina,68,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,alternative electronic / post-punk,indie_alternative,indie / alternative,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,19,21,Jessica Shy,1000 Vėtrų,105,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,contemporary pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,20,66,MIA BOYKA,ЭКСПОНАТ,2,,AGATA official rank only; exact plays not published,Russian / Cyrillic,international / non-local,Russian pop,russian_pop_rap,Russian pop / pop-rap,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,21,46,"Latto, Jung Kook",Seven,84,,AGATA official rank only; exact plays not published,Korean artist / mostly English or K-pop,international / non-local,K-pop / pop,kpop_global,K-pop / global pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,22,28,Kylie Minogue,Can’t Get You out of My Head,9,,AGATA official rank only; exact plays not published,English / international,international / non-local,dance-pop,dance_electronic,dance-pop / electronic,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,23,86,Slayyyter,DANCE…,2,,AGATA official rank only; exact plays not published,English / international,international / non-local,dance-pop / hyperpop,dance_electronic,dance-pop / electronic,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,24,24,Malcolm Todd,Earrings,8,,AGATA official rank only; exact plays not published,English / international,international / non-local,indie pop / alt-pop,indie_alternative,indie / alternative,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,25,26,Drake,Janice STFU,3,,AGATA official rank only; exact plays not published,English / international,international / non-local,hip-hop / R&B,melodic_hiphop_poprap,melodic hip-hop / pop-rap,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,26,,Folkmusic,Обнял потом поцеловал x Tuesday,1,,AGATA official rank only; exact plays not published,Russian / Cyrillic,international / non-local,Russian pop / pop-rap,russian_pop_rap,Russian pop / pop-rap,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,27,17,"Tame Impala,JENNIE",Dracula (JENNIE Remix),17,,AGATA official rank only; exact plays not published,Korean artist / mostly English or K-pop,international / non-local,K-pop / pop,kpop_global,K-pop / global pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
AGATA official Lithuania Singles Top 100,2026 week 23,2026-05-29 to 2026-06-04,28,25,Jessica Shy,Apkabink,169,,AGATA official rank only; exact plays not published,Lithuanian / local artist,Lithuania / local,contemporary pop / alt-pop,pop_alt_pop,pop / alt-pop,"AGATA is the official comprehensive chart, but exact stream/view counts are not published on the page."
