video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,search_query,description_preview,auto_review_flag,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes
7PxtpPGOmyI,Michael Jackson - Smooth Criminal | Arabesk Versiyon 🔥 (Turkish Arabesque Version) | AI Cover,Ya Böyle Olsaydı?,2026-02-16T14:48:56Z,https://www.youtube.com/watch?v=7PxtpPGOmyI,133573,3314,332,Turkish AI generated song,"Michael Jackson İstanbul'da yaşasaydı ve bir arabesk sanatçısı olsaydı nasıl olurdu? 🇹🇷 ""Ya Böyle Olsaydı?"" serimizde ef",likely_mix_or_compilation,,,,,,,,
lQBkTdpqkwg,Turkish Afro House 2026 🌙 | Deep Turkish Afro House Set & Vibes & Mix | Vol. 2,Unfiltered Bass,2026-05-11T18:00:44Z,https://www.youtube.com/watch?v=lQBkTdpqkwg,1368850,17585,543,Turkish AI generated song,🔥 TURKISH AFRO HOUSE 2026 🇹🇷🌍 The perfect fusion of deep Afro rhythms and Turkish vibes you’ve never heard before… Feel ,likely_mix_or_compilation,,,,,,,,
wYUqnExpYNY,End of Beginning Turkish Ai Cover,Bir Adımda Bin Düş - Topic,2026-01-22T03:21:48Z,https://www.youtube.com/watch?v=wYUqnExpYNY,235,4,0,Turkish AI generated song,Provided to YouTube by DistroKid End of Beginning Turkish Ai Cover · Bir Adımda Bin Düş · Xrose Lyme · Xrose Lyme End of,likely_song,,,,,,,,
ZGTzfs-UYyI,PADİŞAH (Sibel CAN Cover) – AI Cover | Musicihan Production (Hareketli / Enerjik),Musicihan Production,2026-04-18T19:41:38Z,https://www.youtube.com/watch?v=ZGTzfs-UYyI,903292,3379,86,Turkish AI generated song,"Türk pop müziğinin unutulmaz hitlerinden biri olan “Padişah”, söz ve müziği Serdar Ortaç’a ait olan ikonik bir eserdir. ",likely_song,,,,,,,,
9dWPzUXUvcw,Yorgun Yıllarım | Kadın & Erkek Düet – Duygusal Türkçe Şarkı (AI Cover) | Emotional Turkish song,CHILLOUT STUDIO LAB,2025-11-05T12:22:53Z,https://www.youtube.com/watch?v=9dWPzUXUvcw,92813,659,22,Turkish AI generated song,"Bu çalışma, iki erkek sesli orijinal şarkıya farklı bir yorum getirerek, kadın & erkek düet şeklinde hazırlanmış duygusa",likely_song,,,,,,,,
RVGyLcbyhOU,ihtiyacım Var ( Live Versiyon ) - ACIOĞLU-AI ( Offical Music ) 2026,Acıoğlu,2026-04-22T20:07:13Z,https://www.youtube.com/watch?v=RVGyLcbyhOU,31574870,128048,6568,Turkish AI generated song,"🎤 İhtiyacım Var (Live Konser Versiyonu) – Sahnedeki en gerçek duygu, en çıplak haliyle… Bu performans, bir şarkıdan çok ",likely_mix_or_compilation,,,,,,,,
-MpVqmIGVnU,Kalbimin Ritmi: Küçük Oyunlar | Yapay Zeka Türkçe Şarkı | Turkish AI Music,New Studies,2026-07-30T08:46:44Z,https://www.youtube.com/watch?v=-MpVqmIGVnU,5,0,0,Turkish AI generated song,Yapay Zeka Türkçe Şarkı Türkçe Yapay Zeka Müziği Türkçe Yapay Zeka Şarkıları Yapay Zeka ile Üretilen Türkçe Müzikler Tür,likely_song,,,,,,,,
uXSwoddI-XI,Aramam - İbrahim Tatlıses AI (Cover),MeloDiary,2026-01-05T21:34:54Z,https://www.youtube.com/watch?v=uXSwoddI-XI,211647,1023,59,Turkish AI generated song,Dostlar Merhaba ! Yapay zeka kullanarak geçmişten günümüze yüreklerimize dokunan eserleri sizlerle farklı tarzlarda bulu,likely_tutorial,,,,,,,,
rjIa0kkOXLQ,Bir yabancı Türk müziğini keşfettiğinde 🇹🇷😳😳😳,AV REACT SHOW,2023-08-13T13:55:58Z,https://www.youtube.com/watch?v=rjIa0kkOXLQ,135864,2206,25,Turkish AI generated song,"WELCOME TO THE AV REACT SHOW SUBSCRIBE 🤗 av react show, silver button, turkey, travel, Music. Trend, YouTube. Turkey Tre",likely_song,,,,,,,,
DKFS9CUCAL4,Gel Bana - Turkish Love Song | AI Music | Emotional Viral Song 2026,BeastKz,2026-06-23T20:54:47Z,https://www.youtube.com/watch?v=DKFS9CUCAL4,2799,23,0,Turkish AI generated song,"🎵 Gel Bana – emotional AI song about love, longing and unforgettable feelings. If you enjoy beautiful AI music, subscrib",likely_song,,,,,,,,
WlEN-2jrI6U,SUNO AI V5 VE SUNO STUDIO NASIL KULLANILIR. ROMAN HAVASI BÖLÜM 3,Bora Uzen,2025-10-29T17:00:50Z,https://www.youtube.com/watch?v=WlEN-2jrI6U,64704,1097,299,Turkish Suno song,"Suno AI Studio nasıl kullanılır? Yapay zekayla Roman Havası yapmayı, kendi sesini eklemeyi öğren! Bu bölümde Trakya & Ro",likely_tutorial,,,,,,,,
1JfImQg7RE0,YAPAY ZEKAYLA DEV ORKESTRA KURULUR MU? (Suno AI Müzik) 🎸🤖🎻,Bora Uzen,2025-09-19T17:00:28Z,https://www.youtube.com/watch?v=1JfImQg7RE0,79591,2463,435,Turkish Suno song,Suno V5 İncelemesi ve Ankara havaları : https://youtu.be/frVzaKSaK6E Herkese selamlar! 🚀 Yepyeni ve çılgın bir deneye ha,likely_tutorial,,,,,,,,
Ftauv1kJa1E,SUNO ŞARKILARINI KENDİ SESİNLE OKUT! (Adım Adım Rehber),Bora Uzen,2025-11-25T18:00:26Z,https://www.youtube.com/watch?v=Ftauv1kJa1E,160964,4590,993,Turkish Suno song,"Suno AI ile yaptığınız şarkılara, Audime kullanarak adım adım kendi sesinizi nasıl ekleyeceğinizi (voice cloning) anlatı",likely_tutorial,,,,,,,,
gKw3q0zxTJs,SUNO AI KULLANANLAR DİKKAT! ⚠️ Suno AI 2026 Yeni Kullanım Şartları,Bora Uzen,2026-01-13T16:30:31Z,https://www.youtube.com/watch?v=gKw3q0zxTJs,37992,1270,608,Turkish Suno song,"Dedeler merhaba! 2026 yılına hızlı bir giriş yaptık. Bugün, hepimizin severek kullandığı Suno AI'nın o ""okumadan kabul e",likely_tutorial,,,,,,,,
JCCeDUOUV9U,Türkçe Pop Müzik - Hakkımı Sana Helal Ettim Söz: Murat Blach - Beste: Suno AI - SÜPER BİR SES,Bağımsız Objektif MAliDA,2026-06-03T04:23:59Z,https://www.youtube.com/watch?v=JCCeDUOUV9U,252,3,2,Turkish Suno song,"HAKKIMI SANA HELAL ETTİM Aylar geçti, mevsim değişti, Yaz bitti, bak güz geldi. Yaylayı donattı var git çiçekleri, Belli",likely_song,,,,,,,,
bpJ9W9lDsX0,İlk Yaz S3 #suno #turkish #music #kazakhstan #aşk,Alpay Urludağ,2025-10-07T00:54:41Z,https://www.youtube.com/watch?v=bpJ9W9lDsX0,98,0,0,Turkish Suno song,,likely_song,,,,,,,,
veqB3z1495A,Best 3 Dramatic Turkish Songs Ever By AI Suno V4.5 | SoundSurge,SoundSurge,2026-01-22T21:52:22Z,https://www.youtube.com/watch?v=veqB3z1495A,313,3,0,Turkish Suno song,Welcome at SoundSurge Your Gate To Dramatic To Cultural Turkish Songs Here is Best 3 Dramatic Turkish Songs Ever By AI S,likely_song,,,,,,,,
